"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","I_35","percent_comp"
"48001","Anderson","20.899999999999999","27.600000000000001",1.5184,0.1687,21.1656,5.7975,3.3282,58057,182,112,"     3.2","58,199","7",12,"3",5.2,"29",49.8,"14",24.1,"13",22.3,"35",60.1,"Micropolitan Statistical Area","Central","37300","Palestine, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,36.4,NA,5.62307931355961,30.9357047080994,"Non I-35 Corridor",0.947368421052632
"48003","Andrews","9.1999999999999993","12",1.4892,0,14.3708,1.7126,1.787,18128,22,30,"     3.7","22,269","1",4.5,"0",0,"3",13.5,"1",4.5,"1",4.5,"9",40.4,"Micropolitan Statistical Area","Central","11380","Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,11.6,NA,3.61633530360022,24.4458824396133,"Non I-35 Corridor",0.947368421052632
"48005","Angelina","17","25.100000000000001",2.2809,0.6254,17.7872,2.9983,3.5869,87092,244,225,"     4.6","90,437","18",19.9,"12",13.3,"61",67.5,"58",64.1,"27",29.9,"84",92.9,"Micropolitan Statistical Area","Central","31260","Lufkin, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,58.3,3.47242317263731,6.48069911453209,17.5960138440132,"Non I-35 Corridor",0.973684210526316
"48007","Aransas","17.100000000000001","30.800000000000001",2.5957,NA,18.1161,6.1547,2.2746,23792,195,173,"     5.3","27,699","2",7.2,"4",14.4,"15",54.2,"4",14.4,"1",3.6,"8",28.9,"Micropolitan Statistical Area","Central","40530","Rockport, TX","Micropolitan Statistical Area-Central",2,"TX",3,2,17,25.1783466219052,10.7553503986572,23.7079069018364,"Non I-35 Corridor",0.947368421052632
"48009","Archer","6.9000000000000004","11.199999999999999",1.3928,NA,21.3092,4.805,1.6017,8786,18.93,13.11,"     3.1","8,344","3",36,"0",0,"7",83.9,"6",71.9,"4",47.9,"0",0,"Metropolitan Statistical Area","Outlying","48660","Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.5,NA,6.58878504672897,21.9790354371071,"Non I-35 Corridor",0.921052631578947
"48011","Armstrong","9.3000000000000007","12.4",NA,0,16.2651,NA,4.2169,1892,3,2,"     2.4","1,948","0",0,"0",0,"1",51.3,"1",51.3,"0",0,"0",0,"Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,20.3,NA,7.03463203463203,23.2821360230446,"Non I-35 Corridor",0.894736842105263
"48013","Atascosa","14.9","22",2.3009,NA,17.5026,3.2834,3.7746,50310,114,98,"     4.2","51,831","8",15.4,"2",3.9,"13",25.1,"2",3.9,"7",13.5,"18",34.7,"Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20,NA,6.55356158510443,23.8479003310204,"Non I-35 Corridor",0.921052631578947
"48015","Austin","11.4","18",1.4181,NA,14.6619,1.7979,1.8992,29989,50,47,"     3.8","30,402","1",3.3,"0",0,"11",36.2,"1",3.3,"2",6.6,"8",26.3,"Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20.3,NA,5.35353200517121,19.623938202858,"Non I-35 Corridor",0.921052631578947
"48017","Bailey","14.4","23.300000000000001",1.3953,0,15.6977,1.2791,2.093,7027,41,30,"     3.5","7,692","1",13,"0",0,"4",52,"0",0,"0",0,"2",26,NA,NA,NA,NA,NA,7,"TX",6,9,23.2,NA,4.34530706836616,27.2771567106247,"Non I-35 Corridor",0.815789473684211
"48019","Bandera","11","21.300000000000001",1.6646,NA,17.604,3.3291,1.5637,22824,54,58,"     3.3","21,246","8",37.7,"3",14.1,"16",75.3,"0",0,"4",18.8,"8",37.7,"Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,9.6,23.9796652438732,13.279938612057,23.8479003310204,"Non I-35 Corridor",0.947368421052632
"48021","Bastrop","10.800000000000001","16.399999999999999",2.3939,NA,18.6427,3.6247,2.4277,86976,304,271,"     3.1","86,105","32",37.2,"24",27.9,"55",63.9,"8",9.3,"18",20.9,"25",29,"Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,13.3,5.14318630678078,5.93523699802502,27.741950750351,"I-35 Corridor",0.947368421052632
"48023","Baylor","15.300000000000001","21.800000000000001",1.7949,NA,20.8974,4.2308,3.0769,3582,7.07,4.89,"     2.6","3,624","0",0,"0",0,"2",55.2,"1",27.6,"0",0,"6",165.6,NA,NA,NA,NA,NA,8,"TX",6,6,33.8,NA,6.40692640692641,21.9790354371071,"Non I-35 Corridor",0.789473684210526
