"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","percent_comp"
48001,"Anderson County",20.9,27.6,NA,1.5184,0.1687,21.1656,5.7975,3.3282,58057,182,112,3.2,"Anderson County","58,199",7,12,"3",5.2,"29",49.8,14,24.1,"13",22.3,"35",60.1,"Micropolitan Statistical Area","Central",37300,"Palestine, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,0.942857142857143
48003,"Andrews County",9.2,12,NA,1.4892,0,14.3708,1.7126,1.787,18128,22,30,3.7,"Andrews County","22,269",1,4.5,"0",0,"3",13.5,1,4.5,"1",4.5,"9",40.4,"Micropolitan Statistical Area","Central",11380,"Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.942857142857143
48005,"Angelina County",17,25.1,NA,2.2809,0.6254,17.7872,2.9983,3.5869,87092,244,225,4.6,"Angelina County","90,437",18,19.9,"12",13.3,"61",67.5,58,64.1,"27",29.9,"84",92.9,"Micropolitan Statistical Area","Central",31260,"Lufkin, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,0.942857142857143
48007,"Aransas County",17.1,30.8,NA,2.5957,NA,18.1161,6.1547,2.2746,23792,195,173,5.3,"Aransas County","27,699",2,7.2,"4",14.4,"15",54.2,4,14.4,"1",3.6,"8",28.9,"Micropolitan Statistical Area","Central",40530,"Rockport, TX","Micropolitan Statistical Area-Central",2,"TX",3,2,0.914285714285714
48009,"Archer County",6.9,11.2,NA,1.3928,NA,21.3092,4.805,1.6017,8786,18.93,13.11,3.1,"Archer County","8,344",3,36,"0",0,"7",83.9,6,71.9,"4",47.9,"0",0,"Metropolitan Statistical Area","Outlying",48660,"Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.914285714285714
48011,"Armstrong County",9.3,12.4,NA,NA,0,16.2651,NA,4.2169,1892,3,2,2.4,"Armstrong County","1,948",0,0,"0",0,"1",51.3,1,51.3,"0",0,"0",0,"Metropolitan Statistical Area","Outlying",11100,"Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.885714285714286
48013,"Atascosa County",14.9,22,NA,2.3009,NA,17.5026,3.2834,3.7746,50310,114,98,4.2,"Atascosa County","51,831",8,15.4,"2",3.9,"13",25.1,2,3.9,"7",13.5,"18",34.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48015,"Austin County",11.4,18,NA,1.4181,NA,14.6619,1.7979,1.8992,29989,50,47,3.8,"Austin County","30,402",1,3.3,"0",0,"11",36.2,1,3.3,"2",6.6,"8",26.3,"Metropolitan Statistical Area","Outlying",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48017,"Bailey County",14.4,23.3,NA,1.3953,0,15.6977,1.2791,2.093,7027,41,30,3.5,"Bailey County","7,692",1,13,"0",0,"4",52,0,0,"0",0,"2",26,NA,NA,NA,NA,NA,7,"TX",6,9,0.8
48019,"Bandera County",11,21.3,NA,1.6646,NA,17.604,3.3291,1.5637,22824,54,58,3.3,"Bandera County","21,246",8,37.7,"3",14.1,"16",75.3,0,0,"4",18.8,"8",37.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
