"County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","FIPS","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013"
"Anderson County","58,199","7",12,"3",5.2,"29",49.8,"14",24.1,"13",22.3,"35",60.1,"48001","Micropolitan Statistical Area","Central","37300","Palestine, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Andrews County","22,269","1",4.5,"0",0,"3",13.5,"1",4.5,"1",4.5,"9",40.4,"48003","Micropolitan Statistical Area","Central","11380","Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Angelina County","90,437","18",19.9,"12",13.3,"61",67.5,"58",64.1,"27",29.9,"84",92.9,"48005","Micropolitan Statistical Area","Central","31260","Lufkin, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"Aransas County","27,699","2",7.2,"4",14.4,"15",54.2,"4",14.4,"1",3.6,"8",28.9,"48007","Micropolitan Statistical Area","Central","40530","Rockport, TX","Micropolitan Statistical Area-Central",2,"TX",3,2
"Archer County","8,344","3",36,"0",0,"7",83.9,"6",71.9,"4",47.9,"0",0,"48009","Metropolitan Statistical Area","Outlying","48660","Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Armstrong County","1,948","0",0,"0",0,"1",51.3,"1",51.3,"0",0,"0",0,"48011","Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Atascosa County","51,831","8",15.4,"2",3.9,"13",25.1,"2",3.9,"7",13.5,"18",34.7,"48013","Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Austin County","30,402","1",3.3,"0",0,"11",36.2,"1",3.3,"2",6.6,"8",26.3,"48015","Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Bailey County","7,692","1",13,"0",0,"4",52,"0",0,"0",0,"2",26,"48017",NA,NA,NA,NA,NA,7,"TX",6,9
"Bandera County","21,246","8",37.7,"3",14.1,"16",75.3,"0",0,"4",18.8,"8",37.7,"48019","Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Bastrop County","86,105","32",37.2,"24",27.9,"55",63.9,"8",9.3,"18",20.9,"25",29,"48021","Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Baylor County","3,624","0",0,"0",0,"2",55.2,"1",27.6,"0",0,"6",165.6,"48023",NA,NA,NA,NA,NA,8,"TX",6,6
"Bee County","34,445","5",14.5,"1",2.9,"12",34.8,"5",14.5,"3",8.7,"14",40.6,"48025","Micropolitan Statistical Area","Central","13300","Beeville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Bell County","353,629","97",27.4,"204",57.7,"355",100.4,"70",19.8,"206",58.3,"304",86,"48027","Metropolitan Statistical Area","Central","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Bexar County","2,093,502","508",24.3,"730",34.9,"1,948",93,"181",8.6,"1,071",51.2,"1,714",81.9,"48029","Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Blanco County","11,504","3",26.1,"2",17.4,"6",52.2,"1",8.7,"3",26.1,"4",34.8,"48031",NA,NA,NA,NA,NA,8,"TX",6,4
"Borden County","685","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48033",NA,NA,NA,NA,NA,8,"TX",6,7
"Bosque County","17,765","5",28.1,"1",5.6,"7",39.4,"4",22.5,"4",22.5,"12",67.5,"48035",NA,NA,NA,NA,NA,6,"TX",6,4
"Bowie County","92,570","20",21.6,"16",17.3,"63",68.1,"14",15.1,"19",20.5,"109",117.7,"48037","Metropolitan Statistical Area","Central","45500","Texarkana, TX-AR","Metropolitan Statistical Area-Central",3,"TX",4,2
"Brazoria County","375,869","66",17.6,"65",17.3,"210",55.9,"31",8.2,"86",22.9,"217",57.7,"48039","Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Brazos County","229,410","45",19.6,"24",10.5,"153",66.7,"27",11.8,"48",20.9,"224",97.6,"48041","Metropolitan Statistical Area","Central","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Brewster County","9,133","1",10.9,"1",10.9,"13",142.3,"1",10.9,"1",10.9,"12",131.4,"48043",NA,NA,NA,NA,NA,7,"TX",6,11
"Briscoe County","1,568","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48045",NA,NA,NA,NA,NA,9,"TX",6,12
"Brooks County","7,175","0",0,"0",0,"0",0,"0",0,"0",0,"1",13.9,"48047",NA,NA,NA,NA,NA,7,"TX",6,9
"Brown County","38,923","29",74.5,"7",18,"51",131,"21",54,"15",38.5,"30",77.1,"48049","Micropolitan Statistical Area","Central","15220","Brownwood, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"Burleson County","17,718","1",5.6,"0",0,"0",0,"0",0,"0",0,"4",22.6,"48051","Metropolitan Statistical Area","Outlying","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Burnet County","48,196","19",39.4,"10",20.7,"26",53.9,"4",8.3,"7",14.5,"45",93.4,"48053",NA,NA,NA,NA,NA,6,"TX",6,4
"Caldwell County","44,284","12",27.1,"13",29.4,"19",42.9,"3",6.8,"9",20.3,"15",33.9,"48055","Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Calhoun County","22,840","0",0,"2",8.8,"10",43.8,"1",4.4,"1",4.4,"16",70.1,"48057","Micropolitan Statistical Area","Central","38920","Port Lavaca, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Callahan County","13,456","3",22.3,"2",14.9,"4",29.7,"3",22.3,"2",14.9,"2",14.9,"48059","Metropolitan Statistical Area","Outlying","10180","Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Cameron County","427,881","59",13.8,"52",12.2,"212",49.5,"77",18,"83",19.4,"254",59.4,"48061","Metropolitan Statistical Area","Central","15180","Brownsville-Harlingen, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Camp County","13,322","3",22.5,"0",0,"5",37.5,"2",15,"3",22.5,"12",90.1,"48063","Micropolitan Statistical Area","Outlying","34420","Mount Pleasant, TX","Micropolitan Statistical Area-Outlying",6,"TX",6,6
"Carson County","5,799","0",0,"0",0,"2",34.5,"2",34.5,"0",0,"0",0,"48065","Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Cass County","30,327","3",9.9,"4",13.2,"11",36.3,"4",13.2,"3",9.9,"9",29.7,"48067",NA,NA,NA,NA,NA,6,"TX",6,6
"Castro County","7,103","1",14.1,"0",0,"2",28.2,"2",28.2,"0",0,"4",56.3,"48069",NA,NA,NA,NA,NA,6,"TX",6,6
"Chambers County","42,320","9",21.3,"2",4.7,"13",30.7,"1",2.4,"2",4.7,"6",14.2,"48071","Metropolitan Statistical Area","Central","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Cherokee County","52,178","10",19.2,"9",17.2,"34",65.2,"35",67.1,"4",7.7,"35",67.1,"48073","Micropolitan Statistical Area","Central","27380","Jacksonville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Childress County","7,062","0",0,"1",14.2,"3",42.5,"1",14.2,"0",0,"10",141.6,"48075",NA,NA,NA,NA,NA,7,"TX",6,11
"Clay County","9,787","2",20.4,"0",0,"5",51.1,"2",20.4,"0",0,"5",51.1,"48077","Metropolitan Statistical Area","Outlying","48660","Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Cochran County","3,348","1",29.9,"0",0,"2",59.7,"1",29.9,"0",0,"1",29.9,"48079",NA,NA,NA,NA,NA,9,"TX",6,10
"Coke County","3,215","0",0,"0",0,"2",62.2,"1",31.1,"2",62.2,"0",0,"48081",NA,NA,NA,NA,NA,8,"TX",6,7
"Coleman County","8,478","2",23.6,"0",0,"1",11.8,"2",23.6,"0",0,"4",47.2,"48083",NA,NA,NA,NA,NA,6,"TX",6,6
"Collin County","1,039,369","128",12.3,"276",26.6,"1,071",103,"79",7.6,"364",35,"1,055",101.5,"48085","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Collingsworth County","3,210","0",0,"0",0,"1",31.2,"0",0,"0",0,"1",31.2,"48087",NA,NA,NA,NA,NA,9,"TX",6,10
"Colorado County","21,273","6",28.2,"1",4.7,"4",18.8,"2",9.4,"1",4.7,"20",94,"48089",NA,NA,NA,NA,NA,6,"TX",6,4
"Comal County","147,330","18",12.2,"52",35.3,"145",98.4,"16",10.9,"56",38,"112",76,"48091","Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Comanche County","13,075","4",30.6,"1",7.6,"5",38.2,"9",68.8,"1",7.6,"12",91.8,"48093",NA,NA,NA,NA,NA,7,"TX",6,9
"Concho County","4,147","0",0,"0",0,"0",0,"0",0,"0",0,"1",24.1,"48095",NA,NA,NA,NA,NA,8,"TX",6,6
"Cooke County","39,727","5",12.6,"3",7.6,"24",60.4,"15",37.8,"2",5,"17",42.8,"48097","Micropolitan Statistical Area","Central","23620","Gainesville, TX","Micropolitan Statistical Area-Central",6,"TX",5,3
"Coryell County","78,317","28",35.8,"34",43.4,"62",79.2,"11",14,"31",39.6,"21",26.8,"48099","Metropolitan Statistical Area","Central","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Cottle County","1,510","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48101",NA,NA,NA,NA,NA,9,"TX",6,12
