"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment"
"48001","Anderson County","20.899999999999999","27.600000000000001",".","1.5184","0.16869999999999999","21.165600000000001","5.7975000000000003","3.3281999999999998",58057,182,112,"     3.2"
"48003","Andrews County","9.1999999999999993","12",".","1.4892000000000001","0","14.370799999999999","1.7125999999999999","1.7869999999999999",18128,22,30,"     3.7"
"48005","Angelina County","17","25.100000000000001",".","2.2808999999999999","0.62539999999999996","17.787199999999999","2.9983","3.5869",87092,244,225,"     4.6"
"48007","Aransas County","17.100000000000001","30.800000000000001",".","2.5956999999999999","*","18.116099999999999","6.1547000000000001","2.2746",23792,195,173,"     5.3"
"48009","Archer County","6.9000000000000004","11.199999999999999",".","1.3928","*","21.309200000000001","4.8049999999999997","1.6016999999999999",8786,18.93,13.11,"     3.1"
"48011","Armstrong County","9.3000000000000007","12.4",".","*","0","16.2651","*","4.2168999999999999",1892,3,2,"     2.4"
"48013","Atascosa County","14.9","22",".","2.3008999999999999","*","17.502600000000001","3.2833999999999999","3.7746",50310,114,98,"     4.2"
"48015","Austin County","11.4","18",".","1.4180999999999999","*","14.661899999999999","1.7979000000000001","1.8992",29989,50,47,"     3.8"
"48017","Bailey County","14.4","23.300000000000001",".","1.3953","0","15.697699999999999","1.2790999999999999","2.093",7027,41,30,"     3.5"
"48019","Bandera County","11","21.300000000000001",".","1.6646000000000001","*","17.603999999999999","3.3290999999999999","1.5637000000000001",22824,54,58,"     3.3"
"48021","Bastrop County","10.800000000000001","16.399999999999999",".","2.3938999999999999","*","18.642700000000001","3.6246999999999998","2.4277000000000002",86976,304,271,"     3.1"
"48023","Baylor County","15.300000000000001","21.800000000000001",".","1.7948999999999999","*","20.897400000000001","4.2308000000000003","3.0769000000000002",3582,7.07,4.89,"     2.6"
"48025","Bee County","23.100000000000001","26.100000000000001",".","2.6349","*","18.611499999999999","5.5206999999999997","2.6766999999999999",32587,98,70,"     6.3"
"48027","Bell County","14.699999999999999","21.399999999999999",".","2.4742999999999999","0.16239999999999999","19.358599999999999","3.7321","2.73",355642,797,257,"     4.1"
"48029","Bexar County","15","20.5",".","1.7822","0.25269999999999998","16.350200000000001","3.1242000000000001","2.6770999999999998",1986049,3867,3657,"     3.6"
"48031","Blanco County","9.8000000000000007","14.6",".","2.0659000000000001","*","14.0679","2.6070000000000002","1.0329999999999999",11702,24,11,"     2.5"
"48033","Borden County","7.5","8.5",".","*","0","*","0","*",648,1.61,0.45,"     2.0"
"48035","Bosque County","12.5","19.199999999999999",".","2.0747","*","19.398299999999999","2.2475999999999998","3.2503000000000002",18691,29,21,"     3.3"
"48037","Bowie County","17.399999999999999","23.399999999999999",".","1.5430999999999999","0.1163","18.416599999999999","3.1482999999999999","2.9777",94324,793,453,"     4.3"
