County	2020 Total Population	2020 LCDC Total	Ratio of 2020 Population to LCDC	Ratio of LCDCs to 100,000 Population	Rank
Anderson	58,199	7	8,314.1	12.0	128
Andrews	22,269	1	22,269.0	4.5	171
Angelina	90,437	18	5,024.3	19.9	73
Aransas	27,699	2	13,849.5	7.2	159
Archer	8,344	3	2,781.3	36.0	21
Armstrong	1,948	0	-	0.0	-
Atascosa	51,831	8	6,478.9	15.4	98
Austin	30,402	1	30,402.0	3.3	176
Bailey	7,692	1	7,692.0	13.0	118
Bandera	21,246	8	2,655.8	37.7	19
Bastrop	86,105	32	2,690.8	37.2	20
Baylor	3,624	0	-	0.0	-
Bee	34,445	5	6,889.0	14.5	105
Bell	353,629	97	3,645.7	27.4	47
Bexar	2,093,502	508	4,121.1	24.3	56
Blanco	11,504	3	3,834.7	26.1	52
Borden	685	0	-	0.0	-
Bosque	17,765	5	3,553.0	28.1	45
Bowie	92,570	20	4,628.5	21.6	66
Brazoria	375,869	66	5,695.0	17.6	88
Brazos	229,410	45	5,098.0	19.6	74
Brewster	9,133	1	9,133.0	10.9	133
Briscoe	1,568	0	-	0.0	-
Brooks	7,175	0	-	0.0	-
Brown	38,923	29	1,342.2	74.5	3
Burleson	17,718	1	17,718.0	5.6	163
Burnet	48,196	19	2,536.6	39.4	16
Caldwell	44,284	12	3,690.3	27.1	49
Calhoun	22,840	0	-	0.0	-
Callahan	13,456	3	4,485.3	22.3	64
Cameron	427,881	59	7,252.2	13.8	113
Camp	13,322	3	4,440.7	22.5	62
Carson	5,799	0	-	0.0	-
Cass	30,327	3	10,109.0	9.9	147
Castro	7,103	1	7,103.0	14.1	109
Chambers	42,320	9	4,702.2	21.3	67
Cherokee	52,178	10	5,217.8	19.2	77
Childress	7,062	0	-	0.0	-
Clay	9,787	2	4,893.5	20.4	70
Cochran	3,348	1	3,348.0	29.9	40
Coke	3,215	0	-	0.0	-
Coleman	8,478	2	4,239.0	23.6	58
Collin	1,039,369	128	8,120.1	12.3	125
Collingsworth	3,210	0	-	0.0	-
Colorado	21,273	6	3,545.5	28.2	44
Comal	147,330	18	8,185.0	12.2	126
Comanche	13,075	4	3,268.8	30.6	36
Concho	4,147	0	-	0.0	-
Cooke	39,727	5	7,945.4	12.6	122
