FIPS,MSA_type,Central_Outlying,CBSA.Code,CBSA.Title,CBSA.level,RUCC_2013,State,County_Name,NCHS_2013,UIC_2013
1001,Metropolitan Statistical Area,Central,33860,"Montgomery, AL",Metropolitan Statistical Area-Central,2,AL,Autauga County,3,2
1003,Metropolitan Statistical Area,Central,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area-Central,3,AL,Baldwin County,4,2
1005,Micropolitan Statistical Area,Central,21640,"Eufaula, AL-GA",Micropolitan Statistical Area-Central,6,AL,Barbour County,6,6
1007,Metropolitan Statistical Area,Outlying,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area-Outlying,1,AL,Bibb County,2,1
1009,Metropolitan Statistical Area,Outlying,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area-Outlying,1,AL,Blount County,2,1
1011,NA,NA,NA,NA,NA,6,AL,Bullock County,6,6
1013,NA,NA,NA,NA,NA,6,AL,Butler County,6,6
1015,Metropolitan Statistical Area,Central,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area-Central,3,AL,Calhoun County,4,2
1017,Micropolitan Statistical Area,Outlying,29300,"LaGrange, GA-AL",Micropolitan Statistical Area-Outlying,6,AL,Chambers County,5,5
1019,NA,NA,NA,NA,NA,6,AL,Cherokee County,6,6
1021,Metropolitan Statistical Area,Outlying,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area-Outlying,1,AL,Chilton County,2,1
1023,NA,NA,NA,NA,NA,9,AL,Choctaw County,6,10
1025,NA,NA,NA,NA,NA,7,AL,Clarke County,6,11
1027,NA,NA,NA,NA,NA,9,AL,Clay County,6,10
1029,NA,NA,NA,NA,NA,8,AL,Cleburne County,6,4
1031,Micropolitan Statistical Area,Central,21460,"Enterprise, AL",Micropolitan Statistical Area-Central,4,AL,Coffee County,5,5
1033,Metropolitan Statistical Area,Central,22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area-Central,3,AL,Colbert County,4,2
1035,NA,NA,NA,NA,NA,7,AL,Conecuh County,6,11
1037,Micropolitan Statistical Area,Outlying,10760,"Alexander City, AL",Micropolitan Statistical Area-Outlying,8,AL,Coosa County,5,3
1039,NA,NA,NA,NA,NA,6,AL,Covington County,6,6
1041,NA,NA,NA,NA,NA,8,AL,Crenshaw County,6,6
