"yfips","year","fips","state","county_name","total_pop","total_pop_15to64","female_pop_15to64","male_pop_15to64","aapi_pop_15to64","black_pop_15to64","latinx_pop_15to64","native_pop_15to64","white_pop_15to64","urbanicity","region","division","commuting_zone","metro_area","land_area","total_jail_pop","female_jail_pop","male_jail_pop","female_adult_jail_pop","female_juvenile_jail_pop","male_adult_jail_pop","male_juvenile_jail_pop","aapi_jail_pop","black_jail_pop","latinx_jail_pop","native_jail_pop","white_jail_pop","other_race_jail_pop","total_jail_pretrial","total_jail_from_prison","total_jail_from_other_jail","total_jail_from_fed","total_jail_from_bia","total_jail_from_bop","total_jail_from_ice","total_jail_from_marshals","total_jail_from_other_fed","jail_rated_capacity","private_jail_flag","regional_jail_flag","total_jail_adm","total_jail_dis","total_jail_pop_dcrp","female_jail_pop_dcrp","male_jail_pop_dcrp","total_jail_adm_dcrp","female_jail_adm_dcrp","male_jail_adm_dcrp","total_prison_pop","female_prison_pop","male_prison_pop","aapi_prison_pop","black_prison_pop","latinx_prison_pop","native_prison_pop","other_race_prison_pop","white_prison_pop","aapi_female_prison_pop","aapi_male_prison_pop","black_female_prison_pop","black_male_prison_pop","latinx_female_prison_pop","latinx_male_prison_pop","native_female_prison_pop","native_male_prison_pop","other_race_female_prison_pop","other_race_male_prison_pop","white_female_prison_pop","white_male_prison_pop","total_prison_adm","female_prison_adm","male_prison_adm","aapi_prison_adm","black_prison_adm","latinx_prison_adm","native_prison_adm","other_race_prison_adm","white_prison_adm","aapi_female_prison_adm","aapi_male_prison_adm","black_female_prison_adm","black_male_prison_adm","latinx_female_prison_adm","latinx_male_prison_adm","native_female_prison_adm","native_male_prison_adm","other_race_female_prison_adm","other_race_male_prison_adm","white_female_prison_adm","white_male_prison_adm","total_jail_pop_rate","female_jail_pop_rate","male_jail_pop_rate","aapi_jail_pop_rate","black_jail_pop_rate","latinx_jail_pop_rate","native_jail_pop_rate","white_jail_pop_rate","total_jail_adm_rate","total_jail_pretrial_rate","total_prison_pop_rate","female_prison_pop_rate","male_prison_pop_rate","aapi_prison_pop_rate","black_prison_pop_rate","latinx_prison_pop_rate","native_prison_pop_rate","white_prison_pop_rate","total_prison_adm_rate","female_prison_adm_rate","male_prison_adm_rate","aapi_prison_adm_rate","black_prison_adm_rate","latinx_prison_adm_rate","native_prison_adm_rate","white_prison_adm_rate"
201848001,2018,48001,"TX","Anderson County",58057,40301,13524,26777,345,10013,7716,156,22071,"rural","South","West South Central",475,37300,1062.6,182,41,91,41,0,90,1,0,55,7,0,70,0,112,0,0,0,0,0,0,0,0,132,0,0,1993,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.6,303.16,339.84,0,549.29,90.72,0,317.16,4945.29,277.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848003,2018,48003,"TX","Andrews County",18128,11577,5571,6006,73,181,6654,72,4597,"rural","South","West South Central",97,11380,1500.72,22,8,39,8,0,39,0,0.72,4,10,0,8,0,30,0,0,8,0,0,7,1,0,50,0,0,936,988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.03,143.6,649.35,986.3,2209.94,150.29,0,174.03,8085,259.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848005,2018,48005,"TX","Angelina County",87092,54302,27533,26769,551,8697,12404,181,32469,"rural","South","West South Central",551,31260,797.78,244,37,232,37,0,231,1,0,0,0,0,0,0,225,260,8,1,0,0,0,1,0,279,0,0,5327,5314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.34,134.38,866.67,0,0,0,0,0,9809.95,414.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848007,2018,48007,"TX","Aransas County",23792,13290,6692,6598,294,221,4122,90,8563,"small/mid","South","West South Central",99,18580,252.05,195,50,122,50,0,122,0,0,8.74,112.58,0,66.67,0,173,90,0,98,0,0,0,98,0,213,0,0,2860,2340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1467.27,747.16,1849.05,0,3954.75,2731.2,0,778.58,21519.94,1301.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848009,2018,48009,"TX","Archer County",8786,5469,2729,2740,35,71,470,45,4848,"small/mid","South","West South Central",68,48660,903.11,18.93,0,5.1,0,0,5.1,0,0,2.18,2.18,0,13.84,0,13.11,0,2.18,0,0,0,0,0,0,36.41,0,1,378.68,378.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.13,0,186.13,0,3070.42,463.83,0,285.48,6924.12,239.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848011,2018,48011,"TX","Armstrong County",1892,1068,534,534,4,14,99,12,939,"small/mid","South","West South Central",7,11100,909.11,3,0,1,0,0,1,0,0,0.33,1,0,1,0,2,0,0,1,0,0,1,0,0,8,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.9,0,187.27,0,2357.14,1010.1,0,106.5,4868.91,187.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848013,2018,48013,"TX","Atascosa County",50310,31509,15678,15831,159,293,20749,117,10191,"suburban","South","West South Central",69,41700,1219.54,114,11,99,11,0,98,1,0,2,81,0,20,0,98,4,7,4,0,0,4,0,0,138,0,0,2808,2496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.8,70.16,625.36,0,682.59,390.38,0,196.25,8911.74,311.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848015,2018,48015,"TX","Austin County",29989,18416,9169,9247,150,1756,5288,51,11171,"suburban","South","West South Central",588,26420,646.49,50,1,39,1,0,39,0,0,11,14,0,25,0,47,2,3,3,0,0,3,0,0,87,0,0,2080,1664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.5,10.91,421.76,0,626.42,264.75,0,223.79,11294.53,255.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848017,2018,48017,"TX","Bailey County",7027,4182,2065,2117,25,59,2829,18,1251,"rural","South","West South Central",405,NA,826.97,41,13,47,13,0,47,0,0,2,28,0,9,0,30,0,0,2,0,0,2,0,0,96,0,0,1560,988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.39,629.54,2220.12,0,3389.83,989.75,0,719.42,37302.73,717.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201848019,2018,48019,"TX","Bandera County",22824,13537,6896,6641,83,169,2898,95,10292,"suburban","South","West South Central",69,41700,791,54,3,12,3,0,11,1,0,0,19,0,45,0,58,3,16,3,0,0,3,0,0,96,0,0,1248,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.91,43.5,180.7,0,0,655.62,0,437.23,9219.18,428.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
