County	2020 Total Population	2020 LPC Total	Ratio of 2020 Population to LPC	Ratio of LPCs to 100,000 Population	Rank
Anderson	58,199	29	2,006.9	49.8	107
Andrews	22,269	3	7,423.0	13.5	204
Angelina	90,437	61	1,482.6	67.5	53
Aransas	27,699	15	1,846.6	54.2	85
Archer	8,344	7	1,192.0	83.9	37
Armstrong	1,948	1	1,948.0	51.3	98
Atascosa	51,831	13	3,987.0	25.1	177
Austin	30,402	11	2,763.8	36.2	144
Bailey	7,692	4	1,923.0	52.0	95
Bandera	21,246	16	1,327.9	75.3	45
Bastrop	86,105	55	1,565.5	63.9	64
Baylor	3,624	2	1,812.0	55.2	82
Bee	34,445	12	2,870.4	34.8	146
Bell	353,629	355	996.1	100.4	21
Bexar	2,093,502	1,948	1,074.7	93.0	26
Blanco	11,504	6	1,917.3	52.2	93
Borden	685	0	-	0.0	-
Bosque	17,765	7	2,537.9	39.4	135
Bowie	92,570	63	1,469.4	68.1	52
Brazoria	375,869	210	1,789.9	55.9	80
Brazos	229,410	153	1,499.4	66.7	55
Brewster	9,133	13	702.5	142.3	4
Briscoe	1,568	0	-	0.0	-
Brooks	7,175	0	-	0.0	-
Brown	38,923	51	763.2	131.0	7
Burleson	17,718	0	-	0.0	-
Burnet	48,196	26	1,853.7	53.9	86
Caldwell	44,284	19	2,330.7	42.9	126
Calhoun	22,840	10	2,284.0	43.8	124
Callahan	13,456	4	3,364.0	29.7	162
Cameron	427,881	212	2,018.3	49.5	110
Camp	13,322	5	2,664.4	37.5	141
Carson	5,799	2	2,899.5	34.5	150
Cass	30,327	11	2,757.0	36.3	143
Castro	7,103	2	3,551.5	28.2	168
Chambers	42,320	13	3,255.4	30.7	160
Cherokee	52,178	34	1,534.6	65.2	61
Childress	7,062	3	2,354.0	42.5	127
Clay	9,787	5	1,957.4	51.1	101
Cochran	3,348	2	1,674.0	59.7	73
Coke	3,215	2	1,607.5	62.2	68
Coleman	8,478	1	8,478.0	11.8	206
Collin	1,039,369	1,071	970.5	103.0	19
Collingsworth	3,210	1	3,210.0	31.2	157
Colorado	21,273	4	5,318.3	18.8	190
Comal	147,330	145	1,016.1	98.4	24
Comanche	13,075	5	2,615.0	38.2	139
Concho	4,147	0	-	0.0	-
Cooke	39,727	24	1,655.3	60.4	72
Coryell	78,317	62	1,263.2	79.2	40
Cottle	1,510	0	-	0.0	-
Crane	6,209	0	-	0.0	-
Crockett	4,040	1	4,040.0	24.8	178
Crosby	6,464	3	2,154.7	46.4	116
Culberson	2,245	0	-	0.0	-
Dallam	7,237	0	-	0.0	-
Dallas	2,734,111	2,535	1,078.5	92.7	27
Dawson	13,592	4	3,398.0	29.4	165
De Witt	21,737	11	1,976.1	50.6	104
Deaf Smith	18,143	6	3,023.8	33.1	152
Delta	5,367	3	1,789.0	55.9	79
Denton	897,953	941	954.3	104.8	18
Dickens	2,174	0	-	0.0	-
Dimmit	11,743	2	5,871.5	17.0	193
Donley	3,410	0	-	0.0	-
Duval	11,796	3	3,932.0	25.4	173
Eastland	18,205	12	1,517.1	65.9	57
Ector	184,841	64	2,888.1	34.6	147
Edwards	1,991	1	1,991.0	50.2	105
El Paso	876,120	502	1,745.3	57.3	78
Ellis	177,721	139	1,278.6	78.2	41
Erath	41,526	50	830.5	120.4	10
Falls	16,603	11	1,509.4	66.3	56
Fannin	34,597	13	2,661.3	37.6	140
Fayette	26,086	5	5,217.2	19.2	189
Fisher	3,985	1	3,985.0	25.1	176
Floyd	5,786	3	1,928.7	51.8	96
Foard	1,240	0	-	0.0	-
Fort Bend	840,383	573	1,466.6	68.2	51
Franklin	10,924	3	3,641.3	27.5	170
Freestone	19,860	7	2,837.1	35.2	145
Frio	20,023	3	6,674.3	15.0	198
Gaines	22,121	3	7,373.7	13.6	202
Galveston	355,196	191	1,859.7	53.8	88
Garza	6,784	3	2,261.3	44.2	122
Gillespie	26,191	14	1,870.8	53.5	90
Glasscock	1,365	0	-	0.0	-
Goliad	7,717	7	1,102.4	90.7	29
Gonzales	21,347	5	4,269.4	23.4	182
Gray	24,252	12	2,021.0	49.5	111
Grayson	131,710	94	1,401.2	71.4	46
Gregg	125,730	106	1,186.1	84.3	36
