State,County,FIPS,opioid_per_100
AL,AUTAUGA,1001,98.3
AL,BALDWIN,1003,65
AL,BARBOUR,1005,22.8
AL,BIBB,1007,24.8
AL,BLOUNT,1009,22.8
AL,BULLOCK,1011,22
AL,BUTLER,1013,35.1
AL,CALHOUN,1015,97.9
AL,CHAMBERS,1017,60.5
AL,CHEROKEE,1019,50.6
AL,CHILTON,1021,39.3
AL,CHOCTAW,1023,37.8
AL,CLARKE,1025,65.9
AL,CLAY,1027,81.7
AL,CLEBURNE,1029,5.7
AL,COFFEE,1031,74.4
AL,COLBERT,1033,150
AL,CONECUH,1035,113.3
AL,COOSA,1037,0
AL,COVINGTON,1039,85.3
AL,CRENSHAW,1041,33.4
AL,CULLMAN,1043,81.1
AL,DALE,1045,31.8
AL,DALLAS,1047,62.7
AL,DE KALB,1049,64.3
AL,ELMORE,1051,26.8
AL,ESCAMBIA,1053,81.2
AL,ETOWAH,1055,102.8
AL,FAYETTE,1057,53.6
AL,FRANKLIN,1059,89.4
AL,GENEVA,1061,17
AL,GREENE,1063,16.5
AL,HALE,1065,22.6
AL,HENRY,1067,46.2
AL,HOUSTON,1069,136.5
AL,JACKSON,1071,71.7
AL,JEFFERSON,1073,139
AL,LAMAR,1075,10.7
AL,LAUDERDALE,1077,57.3
AL,LAWRENCE,1079,28.3
AL,LEE,1081,35.4
AL,LIMESTONE,1083,26.9
AL,LOWNDES,1085,8.3
AL,MACON,1087,11.3
AL,MADISON,1089,87.3
AL,MARENGO,1091,58.8
AL,MARION,1093,106
AL,MARSHALL,1095,92.2
AL,MOBILE,1097,98
AL,MONROE,1099,53.7
AL,MONTGOMERY,1101,86.3
AL,MORGAN,1103,67.9
AL,PERRY,1105,17.3
AL,PICKENS,1107,43.7
AL,PIKE,1109,38.5
AL,RANDOLPH,1111,47
AL,RUSSELL,1113,35.9
AL,SAINT CLAIR,1115,63
AL,SHELBY,1117,64.6
AL,SUMTER,1119,41.9
AL,TALLADEGA,1121,39.7
AL,TALLAPOOSA,1123,43.4
AL,TUSCALOOSA,1125,86.6
AL,WALKER,1127,123
AL,WASHINGTON,1129,29.4
AL,WILCOX,1131,16
AL,WINSTON,1133,65
AK,ALEUTIANS EAST,2013,9.6
AK,ALEUTIANS WEST,2016,2.1
AK,ANCHORAGE,2020,47.2
AK,BETHEL,2050,8.8
AK,BRISTOL BAY,2060,6.4
AK,DENALI,2068,5.2
AK,DILLINGHAM,2070,1.7
AK,FAIRBANKS NORTH STAR,2090,29.7
AK,HAINES,2100,0.5
AK,HOONAH ANGOON,2105,3
AK,JUNEAU,2110,29.2
AK,KENAI PENINSULA,2122,47.3
AK,KETCHIKAN GATEWAY,2130,49.5
AK,KODIAK ISLAND,2150,18
AK,KUSILVAK,2158,1
