County	2020 Total Population	2020 LMSW Total	Ratio of 2020 Population to LMSW	Ratio of LMSWs to 100,000 Population	Rank
Anderson	58,199	13	4,476.8	22.3	86
Andrews	22,269	1	22,269.0	4.5	176
Angelina	90,437	27	3,349.5	29.9	55
Aransas	27,699	1	27,699.0	3.6	180
Archer	8,344	4	2,086.0	47.9	14
Armstrong	1,948	0	-	0.0	181
Atascosa	51,831	7	7,404.4	13.5	128
Austin	30,402	2	15,201.0	6.6	162
Bailey	7,692	0	-	0.0	181
Bandera	21,246	4	5,311.5	18.8	99
Bastrop	86,105	18	4,783.6	20.9	92
Baylor	3,624	0	-	0.0	181
Bee	34,445	3	11,481.7	8.7	154
Bell	353,629	206	1,716.6	58.3	8
Bexar	2,093,502	1,071	1,954.7	51.2	12
Blanco	11,504	3	3,834.7	26.1	69
Borden	685	0	-	0.0	181
Bosque	17,765	4	4,441.3	22.5	84
Bowie	92,570	19	4,872.1	20.5	93
Brazoria	375,869	86	4,370.6	22.9	80
Brazos	229,410	48	4,779.4	20.9	91
Brewster	9,133	1	9,133.0	10.9	143
Briscoe	1,568	0	-	0.0	181
Brooks	7,175	0	-	0.0	181
Brown	38,923	15	2,594.9	38.5	30
Burleson	17,718	0	-	0.0	181
Burnet	48,196	7	6,885.1	14.5	121
Caldwell	44,284	9	4,920.4	20.3	94
Calhoun	22,840	1	22,840.0	4.4	177
Callahan	13,456	2	6,728.0	14.9	118
Cameron	427,881	83	5,155.2	19.4	97
Camp	13,322	3	4,440.7	22.5	83
Carson	5,799	0	-	0.0	181
Cass	30,327	3	10,109.0	9.9	150
Castro	7,103	0	-	0.0	181
Chambers	42,320	2	21,160.0	4.7	172
Cherokee	52,178	4	13,044.5	7.7	157
Childress	7,062	0	-	0.0	181
Clay	9,787	0	-	0.0	181
Cochran	3,348	0	-	0.0	181
Coke	3,215	2	1,607.5	62.2	7
Coleman	8,478	0	-	0.0	181
Collin	1,039,369	364	2,855.4	35.0	41
Collingsworth	3,210	0	-	0.0	181
Colorado	21,273	1	21,273.0	4.7	173
Comal	147,330	56	2,630.9	38.0	31
Comanche	13,075	1	13,075.0	7.6	158
Concho	4,147	0	-	0.0	181
Cooke	39,727	2	19,863.5	5.0	168
Coryell	78,317	31	2,526.4	39.6	27
Cottle	1,510	0	-	0.0	181
Crane	6,209	0	-	0.0	181
Crockett	4,040	0	-	0.0	181
Crosby	6,464	1	6,464.0	15.5	116
Culberson	2,245	0	-	0.0	181
Dallam	7,237	0	-	0.0	181
Dallas	2,734,111	1,224	2,233.8	44.8	21
Dawson	13,592	2	6,796.0	14.7	120
De Witt	21,737	6	3,622.8	27.6	61
Deaf Smith	18,143	5	3,628.6	27.6	62
Delta	5,367	1	5,367.0	18.6	102
Denton	897,953	322	2,788.7	35.9	38
Dickens	2,174	0	-	0.0	181
Dimmit	11,743	0	-	0.0	181
Donley	3,410	0	-	0.0	181
Duval	11,796	1	11,796.0	8.5	155
Eastland	18,205	4	4,551.3	22.0	88
Ector	184,841	8	23,105.1	4.3	178
Edwards	1,991	0	-	0.0	181
El Paso	876,120	368	2,380.8	42.0	24
Ellis	177,721	60	2,962.0	33.8	46
Erath	41,526	17	2,442.7	40.9	25
Falls	16,603	2	8,301.5	12.0	137
Fannin	34,597	13	2,661.3	37.6	33
Fayette	26,086	4	6,521.5	15.3	117
Fisher	3,985	1	3,985.0	25.1	76
Floyd	5,786	1	5,786.0	17.3	104
Foard	1,240	1	1,240.0	80.6	2
Fort Bend	840,383	256	3,282.7	30.5	54
Franklin	10,924	4	2,731.0	36.6	35
Freestone	19,860	1	19,860.0	5.0	167
Frio	20,023	1	20,023.0	5.0	169
Gaines	22,121	1	22,121.0	4.5	175
Galveston	355,196	92	3,860.8	25.9	72
Garza	6,784	1	6,784.0	14.7	119
Gillespie	26,191	7	3,741.6	26.7	66
Glasscock	1,365	0	-	0.0	181
Goliad	7,717	2	3,858.5	25.9	71
Gonzales	21,347	4	5,336.8	18.7	101
Gray	24,252	4	6,063.0	16.5	108
Grayson	131,710	46	2,863.3	34.9	43
Gregg	125,730	44	2,857.5	35.0	42
Grimes	28,930	0	-	0.0	181
Guadalupe	170,266	80	2,128.3	47.0	16
Hale	33,202	4	8,300.5	12.0	136
Hall	3,305	0	-	0.0	181
Hamilton	8,220	1	8,220.0	12.2	135
Hansford	5,820	0	-	0.0	181
Hardeman	3,870	0	-	0.0	181
Hardin	56,486	7	8,069.4	12.4	132
Harris	4,978,845	1,771	2,811.3	35.6	40
Harrison	68,247	11	6,204.3	16.1	112
Hartley	6,067	1	6,067.0	16.5	109
Haskell	6,197	1	6,197.0	16.1	111
Hays	234,896	121	1,941.3	51.5	11
Hemphill	4,644	0	-	0.0	181
Henderson	81,179	5	16,235.8	6.2	164
Hidalgo	870,366	249	3,495.4	28.6	59
Hill	35,673	8	4,459.1	22.4	85
Hockley	24,636	3	8,212.0	12.2	134
Hood	58,643	15	3,909.5	25.6	74
Hopkins	37,040	17	2,178.8	45.9	19
Houston	22,620	5	4,524.0	22.1	87
Howard	41,236	11	3,748.7	26.7	67
Hudspeth	3,400	0	-	0.0	181
Hunt	95,324	36	2,647.9	37.8	32
Hutchinson	21,461	2	10,730.5	9.3	152
Irion	1,508	0	-	0.0	181
Jack	8,841	0	-	0.0	181
Jackson	15,899	2	7,949.5	12.6	130
Jasper	35,525	8	4,440.6	22.5	82
Jeff Davis	2,113	1	2,113.0	47.3	15
Jefferson	258,678	70	3,695.4	27.1	65
Jim Hogg	5,077	2	2,538.5	39.4	28
Jim Wells	42,890	6	7,148.3	14.0	125
Johnson	171,701	49	3,504.1	28.5	60
Jones	19,735	2	9,867.5	10.1	148
Karnes	15,393	4	3,848.3	26.0	70
Kaufman	125,134	47	2,662.4	37.6	34
Kendall	46,278	9	5,142.0	19.4	96
Kenedy	476	0	-	0.0	181
Kent	795	0	-	0.0	181
Kerr	52,267	26	2,010.3	49.7	13
Kimble	4,344	2	2,172.0	46.0	17
King	309	0	-	0.0	181
Kinney	3,462	0	-	0.0	181
Kleberg	30,987	7	4,426.7	22.6	81
Knox	3,937	0	-	0.0	181
La Salle	8,309	0	-	0.0	181
Lamar	50,014	18	2,778.6	36.0	37
Lamb	12,776	2	6,388.0	15.7	115
Lampasas	21,037	7	3,005.3	33.3	47
Lavaca	20,735	1	20,735.0	4.8	170
Lee	17,595	3	5,865.0	17.1	105
Leon	17,707	1	17,707.0	5.6	166
Liberty	85,284	4	21,321.0	4.7	174
Limestone	23,544	3	7,848.0	12.7	129
Lipscomb	3,651	0	-	0.0	181
Live Oak	12,030	0	-	0.0	181
Llano	19,452	2	9,726.0	10.3	147
Loving	92	0	-	0.0	181
Lubbock	317,210	123	2,578.9	38.8	29
Lynn	5,588	0	-	0.0	181
Madison	14,527	1	14,527.0	6.9	161
Marion	10,294	0	-	0.0	181
Martin	6,044	1	6,044.0	16.5	107
Mason	3,899	1	3,899.0	25.6	73
Matagorda	37,064	3	12,354.7	8.1	156
Maverick	59,938	7	8,562.6	11.7	140
McCulloch	8,660	2	4,330.0	23.1	79
McLennan	253,066	196	1,291.2	77.5	4
McMullen	783	0	-	0.0	181
Medina	50,594	10	5,059.4	19.8	95
