"Fiscal.Year","County","CPS_confirmed_victim","CPS_unconfirmed_victim","CPS_family_preservation_removals","CPS_investigation_removals","Children.in.DFPS.Responsibility","Adult_disabled_18_64_pop","Adult_disabled_18_64_perc","Adult_65_over_pop","Adult_65_over_perc","APS_total_county_pop","APS_clients","APS_service_stages","APS_alleged_victims_in_repeat_invest","APS_alleged_victims_in_initial_invest","APS_recidivism"
2012,"Anderson",187,622,6,34,158,5427,9,7618,13,58457,263,269,54,301,0.179
2012,"Andrews",47,105,4,14,48,923,6,1714,11,15919,14,14,3,28,0.107
2012,"Angelina",297,872,10,32,113,8095,9,12443,14,87642,253,260,87,514,0.169
2012,"Aransas",127,229,7,32,115,2379,10,6029,25,23981,122,126,43,144,0.299
2012,"Archer",13,30,NA,NA,NA,557,6,1496,17,8875,48,56,25,61,0.41
2012,"Armstrong",4,16,0,3,5,109,6,426,22,1913,2,2,1,6,0.167
2012,"Atascosa",251,576,7,83,210,4084,9,6186,13,46113,69,69,23,164,0.14
2012,"Austin",34,139,0,10,20,1348,5,4743,16,28791,35,35,8,102,0.078
2012,"Bailey",12,70,0,10,33,474,7,1003,14,7246,38,38,7,36,0.194
2012,"Bandera",47,156,12,11,63,2086,10,4504,22,20612,31,31,9,91,0.099
2012,"Bastrop",254,755,26,87,222,4704,6,9573,13,76532,114,115,47,287,0.164
2012,"Baylor",11,41,3,0,4,312,8,910,25,3679,69,83,19,61,0.311
2012,"Bee",138,284,29,36,131,3988,12,3576,11,32335,115,116,20,133,0.15
2012,"Bell",924,3833,44,377,925,22936,7,28766,9,319503,631,652,209,1124,0.186
2012,"Bexar",6205,18271,864,1299,5761,132741,7,190013,11,1786596,3516,3578,1144,7469,0.153
2012,"Blanco",6,70,0,1,7,726,7,2137,20,10683,14,14,3,26,0.115
2012,"Borden",NA,NA,3,0,3,25,4,144,22,646,2,2,0,2,0
2012,"Bosque",61,180,7,9,40,1481,8,4009,22,18076,28,29,15,97,0.155
2012,"Bowie",258,1136,18,101,209,7960,9,13708,15,92565,191,195,52,401,0.13
2012,"Brazoria",448,2024,28,64,302,18962,6,32673,10,325104,329,330,53,590,0.09
2012,"Brazos",346,1299,3,70,217,10461,5,15348,8,200754,152,155,49,334,0.147
2012,"Brewster",6,65,NA,NA,5,843,9,1627,18,9219,25,25,16,67,0.239
2012,"Briscoe",5,8,1,1,2,85,5,391,24,1610,4,4,1,11,0.091
2012,"Brooks",41,101,1,11,32,1176,16,1308,18,7215,32,32,8,51,0.157
2012,"Brown",131,401,10,52,150,2472,6,7048,18,38310,198,205,57,308,0.185
2012,"Burleson",41,148,0,18,43,1688,10,3204,19,17297,40,41,13,64,0.203
2012,"Burnet",135,410,11,36,110,4187,10,8593,20,43762,66,67,20,148,0.135
2012,"Caldwell",125,368,12,49,135,3636,9,4892,12,39200,65,65,18,143,0.126
2012,"Calhoun",50,194,2,6,20,2219,10,3413,16,21685,23,26,6,68,0.088
2012,"Callahan",49,129,0,4,25,1113,8,2573,19,13515,49,49,16,106,0.151
2012,"Cameron",1819,4445,65,126,476,26024,6,47654,12,411458,816,820,189,1407,0.134
2012,"Camp",32,129,4,12,46,1253,10,2077,17,12554,34,34,16,56,0.286
2012,"Carson",16,47,3,2,11,309,5,1038,17,6081,8,8,3,11,0.273
2012,"Cass",81,402,0,35,61,3164,10,6149,20,30487,53,53,22,129,0.171
2012,"Castro",40,84,20,10,31,375,5,1100,14,7827,15,15,3,19,0.158
2012,"Chambers",79,241,13,24,75,2527,7,3743,10,36319,28,28,5,54,0.093
2012,"Cherokee",169,583,31,64,207,3687,7,7888,15,51124,328,335,70,432,0.162
2012,"Childress",26,64,6,3,24,589,8,1088,15,7048,41,41,12,49,0.245
2012,"Clay",19,48,0,2,9,973,9,1989,19,10555,99,110,33,124,0.266
2012,"Cochran",12,20,1,1,7,282,9,471,15,3130,81,90,18,70,0.257
2012,"Coke",3,18,2,3,12,130,4,862,26,3288,11,11,4,20,0.2
2012,"Coleman",41,86,3,6,36,606,7,1986,23,8802,50,51,7,71,0.099
2012,"Collin",1082,3458,27,132,429,25428,3,70271,8,830057,416,433,121,860,0.141
2012,"Collingsworth",14,27,2,0,11,255,8,557,18,3060,10,10,4,15,0.267
2012,"Colorado",31,142,0,2,27,1368,7,4175,20,20920,31,31,9,73,0.123
2012,"Comal",421,585,12,59,218,7015,6,18755,16,115105,135,139,51,332,0.154
2012,"Comanche",44,95,0,15,24,1157,8,3002,22,13771,51,53,18,75,0.24
2012,"Concho",7,17,0,3,6,452,11,603,15,4087,19,20,5,18,0.278
2012,"Cooke",122,473,7,20,87,2916,8,6448,17,38668,50,51,12,134,0.09
2012,"Coryell",214,830,16,83,217,5692,7,5991,8,75967,85,85,20,164,0.122
2012,"Cottle",3,22,NA,NA,NA,125,8,380,25,1500,13,13,2,20,0.1
2012,"Crane",NA,26,NA,NA,2,315,7,553,12,4669,12,12,4,11,0.364
2012,"Crockett",16,34,0,2,7,159,4,606,16,3774,8,8,2,12,0.167
2012,"Crosby",29,101,3,3,16,564,9,1098,18,6097,38,39,9,43,0.209
2012,"Culberson",10,18,NA,NA,NA,235,10,398,17,2362,2,2,1,8,0.125
2012,"Dallam",22,94,0,3,11,441,7,619,9,6765,17,17,1,19,0.053
2012,"Dallas",5107,18681,620,975,3948,123086,5,221964,9,2441092,3095,3175,956,6386,0.15
2012,"Dawson",54,127,11,3,33,1034,8,1972,14,13749,66,71,11,104,0.106
2012,"Deaf Smith",66,242,9,5,55,987,5,2157,11,19069,20,20,3,43,0.07
2012,"Delta",22,64,0,8,14,540,10,1107,21,5247,17,17,6,34,0.176
2012,"Denton",929,3680,33,238,684,30875,4,54002,8,704794,418,428,134,957,0.14
2012,"DeWitt",35,224,0,8,48,1713,8,3834,19,20365,27,27,7,94,0.074
2012,"Dickens",9,22,NA,NA,10,231,10,488,21,2345,12,13,5,24,0.208
2012,"Dimmit",28,158,0,5,80,1220,12,1519,15,10267,12,12,4,31,0.129
2012,"Donley",21,36,0,4,14,248,7,783,22,3582,13,13,3,17,0.176
2012,"Duval",34,97,0,7,29,1679,14,2004,17,11794,28,28,2,43,0.047
2012,"Eastland",59,184,10,8,49,1855,10,3810,21,18485,104,109,32,161,0.199
2012,"Ector",633,1546,47,111,446,11195,8,14610,10,145200,341,345,92,575,0.16
2012,"Edwards",4,23,NA,NA,16,125,6,468,24,1988,NA,NA,0,7,0
2012,"El Paso",2081,5451,118,179,814,52419,6,87841,11,816533,1226,1238,407,2856,0.143
2012,"Ellis",208,944,4,26,75,10750,7,16659,11,155008,188,190,34,332,0.102
2012,"Erath",114,256,0,23,62,2356,6,5054,13,38485,41,41,12,90,0.133
2012,"Falls",50,141,0,9,25,1864,11,2929,17,17595,37,37,14,78,0.179
2012,"Fannin",52,240,0,5,30,3512,10,6055,18,34015,72,74,12,126,0.095
2012,"Fayette",80,119,4,27,82,1363,5,5532,22,24802,34,34,7,78,0.09
2012,"Fisher",17,21,0,2,6,252,6,905,23,3951,16,16,4,23,0.174
2012,"Floyd",41,77,7,8,39,269,4,1152,18,6239,27,28,4,36,0.111
2012,"Foard",NA,14,NA,NA,NA,247,19,324,25,1297,11,11,0,16,0
2012,"Fort Bend",535,2142,13,60,238,22595,4,51279,8,629845,235,237,87,731,0.119
2012,"Franklin",34,95,1,5,11,1046,10,2027,19,10643,15,15,5,31,0.161
2012,"Freestone",38,149,0,9,28,1576,8,3413,17,19813,26,26,7,71,0.099
2012,"Frio",124,258,1,37,100,2092,12,2081,12,17726,15,15,10,43,0.233
2012,"Gaines",26,75,1,7,35,939,5,1694,9,18371,11,12,4,32,0.125
2012,"Galveston",451,2787,30,68,327,19595,6,36007,12,303340,263,267,129,917,0.141
2012,"Garza",44,57,3,3,20,816,13,717,11,6509,38,40,6,53,0.113
2012,"Gillespie",55,157,3,17,56,1515,6,6839,27,25054,22,22,8,70,0.114
2012,"Glasscock",2,2,NA,NA,NA,34,3,189,15,1247,2,2,0,4,0
2012,"Goliad",21,86,NA,NA,6,717,10,1499,21,7303,6,6,4,23,0.174
2012,"Gonzales",70,218,2,6,26,1744,9,3198,16,20141,18,18,7,70,0.1
2012,"Gray",111,297,1,25,138,1368,6,3608,16,22772,57,57,13,93,0.14
2012,"Grayson",453,1344,8,53,146,9238,8,20001,16,123056,325,335,83,565,0.147
2012,"Gregg",373,1158,6,79,279,10360,8,16971,14,122663,278,284,91,557,0.163
2012,"Grimes",54,193,2,11,43,2202,8,3962,15,27048,59,59,12,93,0.129
2012,"Guadalupe",404,1145,17,102,250,9164,7,16956,12,138339,117,118,74,359,0.206
2012,"Hale",209,350,5,41,130,2110,6,4427,12,35644,80,80,17,137,0.124
2012,"Hall",25,48,0,4,15,158,5,777,23,3308,8,8,1,11,0.091
2012,"Hamilton",19,83,0,3,18,664,8,2091,25,8441,9,9,10,39,0.256
2012,"Hansford",5,35,NA,NA,4,353,6,815,14,5623,5,5,2,10,0.2
2012,"Hardeman",12,22,0,4,9,463,11,795,20,4049,31,34,11,46,0.239
2012,"Hardin",134,554,8,8,51,5236,10,7871,14,55104,122,126,42,212,0.198
2012,"Harris",5383,27407,369,1411,7420,215378,5,364498,9,4264024,5488,5609,1528,10956,0.139
2012,"Harrison",184,728,5,40,130,4731,7,9346,14,66193,201,206,54,284,0.19
2012,"Hartley",3,10,NA,NA,NA,265,4,803,13,6032,7,7,1,11,0.091
2012,"Haskell",18,41,0,2,8,642,11,1262,21,5901,40,45,10,43,0.233
2012,"Hays",315,1124,14,58,177,9879,6,15913,9,170350,80,80,39,260,0.15
2012,"Hemphill",11,19,0,4,6,228,6,529,13,3924,3,3,3,7,0.429
