Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2021,Anderson,5215,9,9138,16,58162
2021,Andrews,1131,5,2253,10,23290
2021,Angelina,8401,9,15150,17,90739
2021,Aransas,2243,8,7843,28,28232
2021,Archer,529,6,1770,21,8303
2021,Armstrong,71,4,587,30,1946
2021,Atascosa,2934,6,8111,15,52646
2021,Austin,2118,7,6516,21,30609
2021,Bailey,460,6,1126,15,7749
2021,Bandera,2026,10,6338,30,21318
2021,Bastrop,6027,7,15121,17,87351
2021,Baylor,267,7,898,25,3620
2021,Bee,3251,9,4468,13,34694
2021,Bell,30735,9,38752,11,357856
2021,Bexar,168269,8,273788,13,2133664
2021,Blanco,759,7,3295,28,11609
2021,Borden,63,9,220,32,692
2021,Bosque,1154,7,4658,26,17729
2021,Bowie,5885,6,16868,18,92534
2021,Brazoria,17692,5,51114,13,382793
2021,Brazos,10488,4,22891,10,233503
2021,Brewster,807,9,1989,22,9100
2021,Briscoe,75,5,451,29,1563
2021,Brooks,665,9,1484,21,7160
2021,Brown,3102,8,8722,22,38962
2021,Burleson,1198,7,3996,22,17782
2021,Burnet,4058,8,11506,24,48769
2021,Caldwell,3202,7,7157,16,44960
2021,Calhoun,2040,9,4223,18,22948
2021,Callahan,1172,9,3157,23,13465
2021,Cameron,22736,5,62948,15,429514
2021,Camp,1061,8,2553,19,13411
2021,Carson,271,5,1082,19,5787
2021,Cass,2525,8,7443,25,30269
2021,Castro,285,4,1256,18,7024
2021,Chambers,2146,5,5780,13,43243
2021,Cherokee,3161,6,9365,18,52263
2021,Childress,519,7,1221,17,7053
2021,Clay,777,8,2403,25,9693
2021,Cochran,226,7,612,18,3371
2021,Coke,178,6,899,28,3205
2021,Coleman,516,6,2157,26,8443
2021,Collin,34676,3,131278,12,1069017
2021,Collingsworth,230,7,685,21,3227
2021,Colorado,1172,5,4927,23,21318
2021,Comal,10765,7,29374,19,152183
2021,Comanche,820,6,3319,26,12980
2021,Concho,222,5,847,20,4149
2021,Cooke,2477,6,8164,20,39847
2021,Coryell,9231,12,7340,9,78703
2021,Cottle,139,9,450,30,1507
2021,Crane,232,4,899,14,6434
2021,Crockett,213,5,903,22,4071
2021,Crosby,623,10,1466,23,6509
2021,Culberson,294,13,571,26,2229
2021,Dallam,538,7,703,10,7301
2021,Dallas,135717,5,310440,11,2771223
2021,Dawson,1555,11,2054,15,13567
2021,Deaf Smith,876,5,2358,13,18043
2021,Delta,418,8,1380,26,5370
2021,Denton,39380,4,105630,11,925643
2021,DeWitt,1781,8,4589,21,21907
2021,Dickens,214,10,591,28,2149
2021,Dimmit,1495,12,1840,15,11974
2021,Donley,137,4,876,26,3386
2021,Duval,1433,12,2267,19,11771
2021,Eastland,1844,10,4258,23,18149
2021,Ector,11039,6,19134,10,190713
2021,Edwards,217,11,612,31,1979
2021,Ellis,10733,6,26556,15,180752
2021,El Paso,59175,7,120770,14,883160
2021,Erath,2453,6,6437,15,41950
2021,Falls,1948,12,3260,20,16493
2021,Fannin,2597,7,7569,22,34671
2021,Fayette,1604,6,6884,26,26272
2021,Fisher,244,6,1064,27,3980
2021,Floyd,281,5,1287,22,5743
2021,Foard,75,6,352,28,1238
2021,Fort Bend,29899,3,114245,13,871351
2021,Franklin,806,7,2221,20,10954
2021,Freestone,1995,10,4038,20,19865
2021,Frio,1813,9,2760,14,20327
2021,Gaines,1407,6,2446,11,22628
2021,Galveston,23597,7,55792,15,362099
2021,Garza,652,10,812,12,6820
2021,Gillespie,1228,5,7882,30,26361
2021,Glasscock,11,1,311,23,1380
2021,Goliad,476,6,2076,27,7768
2021,Gonzales,1669,8,3941,18,21488
2021,Gray,2153,9,3822,16,24456
2021,Grayson,11036,8,25679,19,132740
2021,Gregg,9013,7,20416,16,126034
2021,Grimes,1949,7,5855,20,29128
2021,Guadalupe,11090,6,26026,15,174869
2021,Hale,1758,5,4790,15,32901
2021,Hall,199,6,834,25,3303
2021,Hamilton,777,9,2009,24,8210
2021,Hansford,338,6,1003,17,5855
2021,Hardeman,477,12,791,21,3854
2021,Hardin,4882,9,10632,19,56626
2021,Harris,246026,5,553323,11,5071573
2021,Harrison,4383,6,12077,18,68492
