Fiscal Year,County,Region,Clients,Service Stages
2021,Bailey,1-Lubbock,12,14
2021,Briscoe,1-Lubbock,4,4
2021,Carson,1-Lubbock,10,10
2021,Castro,1-Lubbock,10,10
2021,Childress,1-Lubbock,18,19
2021,Cochran,1-Lubbock,25,26
2021,Collingsworth,1-Lubbock,13,13
2021,Crosby,1-Lubbock,65,74
2021,Dallam,1-Lubbock,5,6
2021,Deaf Smith,1-Lubbock,30,30
2021,Dickens,1-Lubbock,7,7
2021,Donley,1-Lubbock,11,11
2021,Floyd,1-Lubbock,16,16
2021,Garza,1-Lubbock,17,18
2021,Gray,1-Lubbock,72,73
2021,Hale,1-Lubbock,71,73
2021,Hall,1-Lubbock,16,16
2021,Hansford,1-Lubbock,6,7
2021,Hartley,1-Lubbock,4,4
2021,Hemphill,1-Lubbock,2,2
2021,Hockley,1-Lubbock,87,98
2021,Hutchinson,1-Lubbock,72,74
2021,King,1-Lubbock,2,2
2021,Lamb,1-Lubbock,85,89
2021,Lipscomb,1-Lubbock,2,2
2021,Lubbock,1-Lubbock,847,894
2021,Lynn,1-Lubbock,29,29
2021,Moore,1-Lubbock,35,35
2021,Motley,1-Lubbock,4,4
2021,Ochiltree,1-Lubbock,26,27
2021,Oldham,1-Lubbock,2,2
2021,Parmer,1-Lubbock,13,13
2021,Potter,1-Lubbock,417,431
2021,Randall,1-Lubbock,207,210
2021,Roberts,1-Lubbock,2,2
2021,Sherman,1-Lubbock,6,6
2021,Swisher,1-Lubbock,24,24
2021,Terry,1-Lubbock,128,147
2021,Wheeler,1-Lubbock,10,10
2021,Yoakum,1-Lubbock,12,12
2021,Archer,2-Abilene,49,51
2021,Baylor,2-Abilene,13,13
2021,Brown,2-Abilene,145,149
2021,Callahan,2-Abilene,38,39
2021,Clay,2-Abilene,37,37
2021,Coleman,2-Abilene,39,40
2021,Comanche,2-Abilene,57,57
2021,Cottle,2-Abilene,8,8
2021,Eastland,2-Abilene,71,74
2021,Fisher,2-Abilene,6,6
2021,Foard,2-Abilene,9,9
2021,Hardeman,2-Abilene,14,14
2021,Haskell,2-Abilene,21,21
2021,Jack,2-Abilene,15,15
2021,Jones,2-Abilene,54,54
