Fiscal Year,County,Region,Alleged Victims in Repeat Investigation,Alleged Victims in Initial Investigation,Recidivism
2017,Camp,4-Tyler,9,72,0.125
2017,Cass,4-Tyler,16,121,0.132
2014,Camp,4-Tyler,17,72,0.236
2014,Cass,4-Tyler,12,126,0.095
2021,Armstrong,1-Lubbock,1,2,0.5
2021,Bailey,1-Lubbock,3,23,0.13
2021,Briscoe,1-Lubbock,2,9,0.222
2021,Carson,1-Lubbock,3,19,0.158
2021,Castro,1-Lubbock,7,25,0.28
2021,Childress,1-Lubbock,10,31,0.323
2021,Cochran,1-Lubbock,9,36,0.25
2021,Collingsworth,1-Lubbock,6,23,0.261
2021,Crosby,1-Lubbock,19,82,0.232
2021,Dallam,1-Lubbock,2,10,0.2
2021,Deaf Smith,1-Lubbock,9,70,0.129
2021,Dickens,1-Lubbock,6,15,0.4
2021,Donley,1-Lubbock,2,19,0.105
2021,Floyd,1-Lubbock,6,33,0.182
2021,Garza,1-Lubbock,8,30,0.267
2021,Gray,1-Lubbock,19,122,0.156
2021,Hale,1-Lubbock,25,160,0.156
2021,Hall,1-Lubbock,0,14,0
2021,Hansford,1-Lubbock,4,11,0.364
2021,Hartley,1-Lubbock,0,7,0
2021,Hemphill,1-Lubbock,0,3,0
2021,Hockley,1-Lubbock,36,151,0.238
2021,Hutchinson,1-Lubbock,15,103,0.146
2021,King,1-Lubbock,0,2,0
2021,Lamb,1-Lubbock,20,144,0.139
2021,Lipscomb,1-Lubbock,0,5,0
2021,Lubbock,1-Lubbock,386,1891,0.204
2021,Lynn,1-Lubbock,10,59,0.169
2021,Moore,1-Lubbock,6,51,0.118
2021,Motley,1-Lubbock,2,5,0.4
2021,Ochiltree,1-Lubbock,8,33,0.242
2021,Oldham,1-Lubbock,0,3,0
2021,Parmer,1-Lubbock,2,17,0.118
2021,Potter,1-Lubbock,169,838,0.202
2021,Randall,1-Lubbock,67,447,0.15
2021,Roberts,1-Lubbock,0,2,0
2021,Sherman,1-Lubbock,1,11,0.091
2021,Swisher,1-Lubbock,10,35,0.286
2021,Terry,1-Lubbock,38,161,0.236
2021,Wheeler,1-Lubbock,1,15,0.067
2021,Yoakum,1-Lubbock,3,23,0.13
2021,Archer,2-Abilene,14,68,0.206
2021,Baylor,2-Abilene,3,27,0.111
2021,Brown,2-Abilene,60,345,0.174
2021,Callahan,2-Abilene,21,111,0.189
2021,Clay,2-Abilene,20,82,0.244
2021,Coleman,2-Abilene,15,86,0.174
2021,Comanche,2-Abilene,12,94,0.128
2021,Cottle,2-Abilene,1,10,0.1
2021,Eastland,2-Abilene,33,144,0.229
2021,Fisher,2-Abilene,6,22,0.273
2021,Foard,2-Abilene,1,9,0.111
2021,Hardeman,2-Abilene,3,22,0.136
2021,Haskell,2-Abilene,8,44,0.182
2021,Jack,2-Abilene,11,53,0.208
2021,Jones,2-Abilene,12,114,0.105
2021,Kent,2-Abilene,0,5,0
2021,Knox,2-Abilene,12,36,0.333
2021,Mitchell,2-Abilene,8,37,0.216
2021,Montague,2-Abilene,27,166,0.163
2021,Nolan,2-Abilene,24,133,0.18
2021,Runnels,2-Abilene,14,83,0.169
2021,Scurry,2-Abilene,16,102,0.157
2021,Shackelford,2-Abilene,4,22,0.182
2021,Stephens,2-Abilene,9,44,0.205
2021,Stonewall,2-Abilene,5,13,0.385
2021,Taylor,2-Abilene,287,1316,0.218
2021,Throckmorton,2-Abilene,1,15,0.067
2021,Wichita,2-Abilene,292,1320,0.221
2021,Wilbarger,2-Abilene,22,119,0.185
2021,Young,2-Abilene,27,166,0.163
2021,Collin,3-Arlington,178,1420,0.125
2021,Cooke,3-Arlington,23,138,0.167
2021,Dallas,3-Arlington,990,7139,0.139
2021,Denton,3-Arlington,133,1326,0.1
2021,Ellis,3-Arlington,47,398,0.118
2021,Erath,3-Arlington,10,112,0.089
2021,Fannin,3-Arlington,19,144,0.132
2021,Grayson,3-Arlington,77,621,0.124
2021,Hood,3-Arlington,27,209,0.129
2021,Hunt,3-Arlington,75,438,0.171
2021,Johnson,3-Arlington,72,504,0.143
2021,Kaufman,3-Arlington,38,307,0.124
2021,Navarro,3-Arlington,26,208,0.125
2021,Palo Pinto,3-Arlington,33,156,0.212
2021,Parker,3-Arlington,63,438,0.144
2021,Rockwall,3-Arlington,18,170,0.106
2021,Somervell,3-Arlington,1,30,0.033
2021,Tarrant,3-Arlington,860,6060,0.142
2021,Wise,3-Arlington,28,223,0.126
2021,Anderson,4-Tyler,30,224,0.134
2021,Bowie,4-Tyler,39,315,0.124
2021,Camp,4-Tyler,6,61,0.098
2021,Cass,4-Tyler,19,136,0.14
2021,Cherokee,4-Tyler,43,243,0.177
2021,Delta,4-Tyler,4,36,0.111
2021,Franklin,4-Tyler,6,33,0.182
2021,Gregg,4-Tyler,60,506,0.119
2021,Harrison,4-Tyler,33,248,0.133
2021,Henderson,4-Tyler,61,480,0.127
2021,Hopkins,4-Tyler,17,162,0.105
2021,Lamar,4-Tyler,38,274,0.139
2021,Marion,4-Tyler,16,71,0.225
2021,Morris,4-Tyler,9,71,0.127
2021,Panola,4-Tyler,7,82,0.085
2021,Rains,4-Tyler,11,55,0.2
2021,Red River,4-Tyler,4,54,0.074
2021,Rusk,4-Tyler,23,161,0.143
2021,Smith,4-Tyler,144,1012,0.142
2021,Titus,4-Tyler,15,99,0.152
2021,Upshur,4-Tyler,26,141,0.184
2021,Van Zandt,4-Tyler,37,290,0.128
2021,Wood,4-Tyler,29,264,0.11
2021,Angelina,5-Beaumont,40,375,0.107
2021,Hardin,5-Beaumont,26,241,0.108
2021,Houston,5-Beaumont,8,111,0.072
2021,Jasper,5-Beaumont,39,191,0.204
2021,Jefferson,5-Beaumont,161,1200,0.134
2021,Nacogdoches,5-Beaumont,44,244,0.18
2021,Newton,5-Beaumont,9,56,0.161
2021,Orange,5-Beaumont,47,401,0.117
2021,Polk,5-Beaumont,52,282,0.184
2021,Sabine,5-Beaumont,4,58,0.069
2021,San Augustine,5-Beaumont,3,60,0.05
2021,San Jacinto,5-Beaumont,14,159,0.088
2021,Shelby,5-Beaumont,15,116,0.129
2021,Trinity,5-Beaumont,6,76,0.079
2021,Tyler,5-Beaumont,14,120,0.117
2021,Austin,6-Houston,17,103,0.165
2021,Brazoria,6-Houston,111,891,0.125
2021,Chambers,6-Houston,23,101,0.228
2021,Colorado,6-Houston,9,83,0.108
2021,Fort Bend,6-Houston,212,1398,0.152
2021,Galveston,6-Houston,199,1277,0.156
2021,Harris,6-Houston,1983,13346,0.149
2021,Liberty,6-Houston,73,394,0.185
2021,Matagorda,6-Houston,16,133,0.12
2021,Montgomery,6-Houston,251,1527,0.164
2021,Walker,6-Houston,22,160,0.138
2021,Waller,6-Houston,11,125,0.088
2021,Wharton,6-Houston,13,127,0.102
2021,Bastrop,7-Austin,44,325,0.135
2021,Bell,7-Austin,223,1366,0.163
2021,Blanco,7-Austin,2,44,0.045
2021,Bosque,7-Austin,12,87,0.138
