Fiscal Year,County,Region,Confirmed Victims,Victims
2021,Armstrong,1-Lubbock,Not Confirmed,18
2021,Armstrong,1-Lubbock,Confirmed Victim,5
2021,Bailey,1-Lubbock,Not Confirmed,48
2021,Bailey,1-Lubbock,Confirmed Victim,16
2021,Briscoe,1-Lubbock,Not Confirmed,8
2021,Briscoe,1-Lubbock,Confirmed Victim,1
2021,Carson,1-Lubbock,Not Confirmed,42
2021,Carson,1-Lubbock,Confirmed Victim,15
2021,Castro,1-Lubbock,Not Confirmed,55
2021,Castro,1-Lubbock,Confirmed Victim,17
2021,Childress,1-Lubbock,Not Confirmed,62
2021,Childress,1-Lubbock,Confirmed Victim,23
2021,Cochran,1-Lubbock,Not Confirmed,39
2021,Cochran,1-Lubbock,Confirmed Victim,13
2021,Collingsworth,1-Lubbock,Not Confirmed,33
2021,Collingsworth,1-Lubbock,Confirmed Victim,5
2021,Crosby,1-Lubbock,Not Confirmed,62
2021,Crosby,1-Lubbock,Confirmed Victim,10
2021,Dallam,1-Lubbock,Not Confirmed,82
2021,Dallam,1-Lubbock,Confirmed Victim,57
2021,Deaf Smith,1-Lubbock,Not Confirmed,191
2021,Deaf Smith,1-Lubbock,Confirmed Victim,73
2021,Dickens,1-Lubbock,Not Confirmed,10
2021,Dickens,1-Lubbock,Confirmed Victim,7
2021,Donley,1-Lubbock,Not Confirmed,18
2021,Donley,1-Lubbock,Confirmed Victim,15
2021,Floyd,1-Lubbock,Not Confirmed,44
2021,Floyd,1-Lubbock,Confirmed Victim,24
2021,Garza,1-Lubbock,Not Confirmed,55
2021,Garza,1-Lubbock,Confirmed Victim,14
2021,Gray,1-Lubbock,Not Confirmed,243
2021,Gray,1-Lubbock,Confirmed Victim,101
2021,Hale,1-Lubbock,Not Confirmed,269
2021,Hale,1-Lubbock,Confirmed Victim,174
2021,Hall,1-Lubbock,Not Confirmed,33
2021,Hall,1-Lubbock,Confirmed Victim,9
2021,Hansford,1-Lubbock,Not Confirmed,23
2021,Hansford,1-Lubbock,Confirmed Victim,7
2021,Hartley,1-Lubbock,Not Confirmed,17
2021,Hartley,1-Lubbock,Confirmed Victim,19
2021,Hemphill,1-Lubbock,Not Confirmed,13
2021,Hemphill,1-Lubbock,Confirmed Victim,5
2021,Hockley,1-Lubbock,Not Confirmed,228
2021,Hockley,1-Lubbock,Confirmed Victim,96
