"AGGREGATION LEVEL","SECTION","HEADING","HEADING NAME","YR12"
"STATE SUMMARY","A-PARTICIPATION","A01","STATE CUMULATIVE YEAR END ENROLLMENT",5127376
"STATE SUMMARY","A-PARTICIPATION","A02","STATE DISCIPLINE POPULATION",711322
"STATE SUMMARY","A-PARTICIPATION","A03","STATE DISCIPLINE RECORD COUNT",2212535
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B01","COUNT OF STUDENTS EXPELLED TO JJAEP",3459
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B02","MANDATORY EXPULSIONS TO JJAEP",1537
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B03","DISCRETIONARY EXPULSIONS TO JJAEP",2084
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED",5401
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B05","MANDATORY EXPULSIONS",1953
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS",3751
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP",85450
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS",39355
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS",70283
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL",579670
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B11","MANDATORY IN SCHOOL SUSPENSIONS",9323
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS",1491452
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL",263322
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B14","MANDATORY OUT OF SCHOOL SUSPENSIONS",31676
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS",497221
"STATE SUMMARY","C-JJAEP EXPULSIONS","C01","AMERICAN INDIAN OR ALASKA NAT",-99999999
"STATE SUMMARY","C-JJAEP EXPULSIONS","C02","ASIAN",33
"STATE SUMMARY","C-JJAEP EXPULSIONS","C03","BLACK OR AFRICAN AMERICAN",777
"STATE SUMMARY","C-JJAEP EXPULSIONS","C04","HISPANIC/LATINO",2026
"STATE SUMMARY","C-JJAEP EXPULSIONS","C05","NATIVE HAWAIIAN/OTHER PACIFIC",-99999999
"STATE SUMMARY","C-JJAEP EXPULSIONS","C06","TWO OR MORE RACES",59
"STATE SUMMARY","C-JJAEP EXPULSIONS","C07","WHITE",709
"STATE SUMMARY","D-EXPULSION ACTIONS","C08","AMERICAN INDIAN OR ALASKA NAT",18
"STATE SUMMARY","D-EXPULSION ACTIONS","C09","ASIAN",48
"STATE SUMMARY","D-EXPULSION ACTIONS","C10","BLACK OR AFRICAN AMERICAN",1199
"STATE SUMMARY","D-EXPULSION ACTIONS","C11","HISPANIC/LATINO",3232
"STATE SUMMARY","D-EXPULSION ACTIONS","C12","NATIVE HAWAIIAN/OTHER PACIFIC",6
"STATE SUMMARY","D-EXPULSION ACTIONS","C13","TWO OR MORE RACES",96
"STATE SUMMARY","D-EXPULSION ACTIONS","C14","WHITE",1105
"STATE SUMMARY","E-DAEP PLACEMENTS","C15","AMERICAN INDIAN OR ALASKA NAT",488
"STATE SUMMARY","E-DAEP PLACEMENTS","C16","ASIAN",659
"STATE SUMMARY","E-DAEP PLACEMENTS","C17","BLACK OR AFRICAN AMERICAN",26381
"STATE SUMMARY","E-DAEP PLACEMENTS","C18","HISPANIC/LATINO",57890
"STATE SUMMARY","E-DAEP PLACEMENTS","C19","NATIVE HAWAIIAN/OTHER PACIFIC",114
"STATE SUMMARY","E-DAEP PLACEMENTS","C20","TWO OR MORE RACES",1699
"STATE SUMMARY","E-DAEP PLACEMENTS","C21","WHITE",22407
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C22","AMERICAN INDIAN OR ALASKA NAT",2011
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C23","ASIAN",3249
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C24","BLACK OR AFRICAN AMERICAN",174559
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C25","HISPANIC/LATINO",265383
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C26","NATIVE HAWAIIAN/OTHER PACIFIC",510
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C27","TWO OR MORE RACES",7457
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C28","WHITE",75728
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C29","AMERICAN INDIAN OR ALASKA NAT",6257
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C30","ASIAN",11293
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C31","BLACK OR AFRICAN AMERICAN",361896
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C32","HISPANIC/LATINO",767169
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C33","NATIVE HAWAIIAN/OTHER PACIFIC",1990
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C34","TWO OR MORE RACES",24727
"STATE SUMMARY","G-IN SCHOOL SUSPENSIONS","C35","WHITE",327443
"STATE SUMMARY","H-SPEC. ED. JJAEP EXPULSIONS","D01","SPEC. ED. STUDENTS EXPELLED TO JJAEP",661
"STATE SUMMARY","H-SPEC. ED. JJAEP EXPULSIONS","D02","SPEC. ED. EXPULSIONS TO JJAEP",690
"STATE SUMMARY","H-SPEC. ED. JJAEP EXPULSIONS","D03","NON SPEC. ED. EXPULSIONS TO JJAEP",2931
"STATE SUMMARY","I-SPEC. ED. EXPULSIONS","D04","SPEC. ED. STUDENTS EXPELLED",1005
"STATE SUMMARY","I-SPEC. ED. EXPULSIONS","D05","SPEC. ED. EXPULSIONS",1058
"STATE SUMMARY","I-SPEC. ED. EXPULSIONS","D06","NON SPEC. ED. EXPULSIONS",4646
