T E X A S  E D U C A T I O N  A G E N C Y

State Level Annual Discipline Summary

PEIMS Discipline Data for 2017-2018

"AGGREGATION LEVEL","SECTION","HEADING","HEADING NAME","YR18"
"STATE SUMMARY","A-PARTICIPATION","A01","STATE CUMULATIVE YEAR END ENROLLMENT",5536631
"STATE SUMMARY","A-PARTICIPATION","A02","STATE DISCIPLINE POPULATION",561084
"STATE SUMMARY","A-PARTICIPATION","A03","STATE DISCIPLINE RECORD COUNT",1558456
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B01","COUNT OF STUDENTS EXPELLED TO JJAEP",2408
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B02","MANDATORY EXPULSIONS TO JJAEP",1126
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B03","DISCRETIONARY EXPULSIONS TO JJAEP",1363
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED",3931
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B05","MANDATORY EXPULSIONS",1515
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS",2575
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP",74565
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS",42375
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS",47261
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL",464004
"STATE SUMMARY","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL",214051
"STATE SUMMARY","C-JJAEP EXPULSIONS","C01","AMERICAN INDIAN OR ALASKA NAT",-999
"STATE SUMMARY","C-JJAEP EXPULSIONS","C02","ASIAN",24
"STATE SUMMARY","C-JJAEP EXPULSIONS","C03","BLACK OR AFRICAN AMERICAN",566
"STATE SUMMARY","C-JJAEP EXPULSIONS","C04","HISPANIC/LATINO",1346
"STATE SUMMARY","C-JJAEP EXPULSIONS","C05","NATIVE HAWAIIAN/OTHER PACIFIC",-999
"STATE SUMMARY","C-JJAEP EXPULSIONS","C06","TWO OR MORE RACES",54
"STATE SUMMARY","C-JJAEP EXPULSIONS","C07","WHITE",481
"STATE SUMMARY","D-EXPULSION ACTIONS","C08","AMERICAN INDIAN OR ALASKA NAT",-999
"STATE SUMMARY","D-EXPULSION ACTIONS","C09","ASIAN",38
"STATE SUMMARY","D-EXPULSION ACTIONS","C10","BLACK OR AFRICAN AMERICAN",836
"STATE SUMMARY","D-EXPULSION ACTIONS","C11","HISPANIC/LATINO",2267
"STATE SUMMARY","D-EXPULSION ACTIONS","C12","NATIVE HAWAIIAN/OTHER PACIFIC",-999
"STATE SUMMARY","D-EXPULSION ACTIONS","C13","TWO OR MORE RACES",81
"STATE SUMMARY","D-EXPULSION ACTIONS","C14","WHITE",842
"STATE SUMMARY","E-DAEP PLACEMENTS","C15","AMERICAN INDIAN OR ALASKA NAT",326
"STATE SUMMARY","E-DAEP PLACEMENTS","C16","ASIAN",588
"STATE SUMMARY","E-DAEP PLACEMENTS","C17","BLACK OR AFRICAN AMERICAN",21097
"STATE SUMMARY","E-DAEP PLACEMENTS","C18","HISPANIC/LATINO",46803
"STATE SUMMARY","E-DAEP PLACEMENTS","C19","NATIVE HAWAIIAN/OTHER PACIFIC",84
"STATE SUMMARY","E-DAEP PLACEMENTS","C20","TWO OR MORE RACES",1983
"STATE SUMMARY","E-DAEP PLACEMENTS","C21","WHITE",18755
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C22","AMERICAN INDIAN OR ALASKA NAT",1260
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C23","ASIAN",2435
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C24","BLACK OR AFRICAN AMERICAN",131474
"STATE SUMMARY","F-OUT OF SCHOOL SUSPENSIONS","C25","HISPANIC/LATINO",200686
