T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
State Level Annual Discipline Summary,,,,
,,,,
PEIMS Discipline Data for 2019-2020,,,,
,,,,
AGGREGATION LEVEL,SECTION,HEADING,HEADING NAME,YR20
STATE SUMMARY,A-PARTICIPATION,A01,STATE CUMULATIVE YEAR END ENROLLMENT,5617681
STATE SUMMARY,A-PARTICIPATION,A02,STATE DISCIPLINE POPULATION,467135
STATE SUMMARY,A-PARTICIPATION,A03,STATE DISCIPLINE RECORD COUNT,1167350
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B01,COUNT OF STUDENTS EXPELLED TO JJAEP,2517
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B02,MANDATORY EXPULSIONS TO JJAEP,1437
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B03,DISCRETIONARY EXPULSIONS TO JJAEP,1159
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B04,COUNT OF STUDENTS EXPELLED,4209
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B05,MANDATORY EXPULSIONS,2037
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B06,DISCRETIONARY EXPULSIONS,2357
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B07,COUNT OF STUDENTS REMOVED TO A DAEP,65155
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B08,MANDATORY DAEP REMOVALS,36646
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B09,DISCRETIONARY DAEP REMOVALS,38534
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B10,COUNT OF STUDENTS SUSPENDED IN SCHOOL,382181
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B13,STUDENTS SUSPENDED OUT OF SCHOOL,173285
STATE SUMMARY,C-JJAEP EXPULSIONS,C01,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C02,ASIAN,33
STATE SUMMARY,C-JJAEP EXPULSIONS,C03,BLACK OR AFRICAN AMERICAN,506
STATE SUMMARY,C-JJAEP EXPULSIONS,C04,HISPANIC/LATINO,1512
STATE SUMMARY,C-JJAEP EXPULSIONS,C05,NATIVE HAWAIIAN/OTHER PACIFIC,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C06,TWO OR MORE RACES,65
STATE SUMMARY,C-JJAEP EXPULSIONS,C07,WHITE,464
STATE SUMMARY,D-EXPULSION ACTIONS,C08,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,D-EXPULSION ACTIONS,C09,ASIAN,49
STATE SUMMARY,D-EXPULSION ACTIONS,C10,BLACK OR AFRICAN AMERICAN,846
STATE SUMMARY,D-EXPULSION ACTIONS,C11,HISPANIC/LATINO,2562
STATE SUMMARY,D-EXPULSION ACTIONS,C12,NATIVE HAWAIIAN/OTHER PACIFIC,-999
STATE SUMMARY,D-EXPULSION ACTIONS,C13,TWO OR MORE RACES,104
STATE SUMMARY,D-EXPULSION ACTIONS,C14,WHITE,811
STATE SUMMARY,E-DAEP PLACEMENTS,C15,AMERICAN INDIAN OR ALASKA NAT,258
STATE SUMMARY,E-DAEP PLACEMENTS,C16,ASIAN,518
STATE SUMMARY,E-DAEP PLACEMENTS,C17,BLACK OR AFRICAN AMERICAN,16516
STATE SUMMARY,E-DAEP PLACEMENTS,C18,HISPANIC/LATINO,40741
STATE SUMMARY,E-DAEP PLACEMENTS,C19,NATIVE HAWAIIAN/OTHER PACIFIC,84
STATE SUMMARY,E-DAEP PLACEMENTS,C20,TWO OR MORE RACES,1815
STATE SUMMARY,E-DAEP PLACEMENTS,C21,WHITE,15248
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C22,AMERICAN INDIAN OR ALASKA NAT,1043
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C23,ASIAN,1964
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C24,BLACK OR AFRICAN AMERICAN,92768
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C25,HISPANIC/LATINO,151630
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C26,NATIVE HAWAIIAN/OTHER PACIFIC,266
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C27,TWO OR MORE RACES,6700
STATE SUMMARY,F-OUT OF SCHOOL SUSPENSIONS,C28,WHITE,41597
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C29,AMERICAN INDIAN OR ALASKA NAT,2904
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C30,ASIAN,6214
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C31,BLACK OR AFRICAN AMERICAN,195480
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C32,HISPANIC/LATINO,397849
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C33,NATIVE HAWAIIAN/OTHER PACIFIC,1199
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C34,TWO OR MORE RACES,21921
STATE SUMMARY,G-IN SCHOOL SUSPENSIONS,C35,WHITE,164048
STATE SUMMARY,H-SPEC. ED. JJAEP EXPULSIONS,D01,SPEC. ED. STUDENTS EXPELLED TO JJAEP,425
STATE SUMMARY,H-SPEC. ED. JJAEP EXPULSIONS,D02,SPEC. ED. EXPULSIONS TO JJAEP,440
STATE SUMMARY,H-SPEC. ED. JJAEP EXPULSIONS,D03,NON SPEC. ED. EXPULSIONS TO JJAEP,2156
STATE SUMMARY,I-SPEC. ED. EXPULSIONS,D04,SPEC. ED. STUDENTS EXPELLED,681
STATE SUMMARY,I-SPEC. ED. EXPULSIONS,D05,SPEC. ED. EXPULSIONS,714
STATE SUMMARY,I-SPEC. ED. EXPULSIONS,D06,NON SPEC. ED. EXPULSIONS,3680
STATE SUMMARY,J-SPEC. ED. DAEP PLACEMENTS,D07,SPEC. ED. STUDENTS IN DAEP PLACEMENT,11624
STATE SUMMARY,J-SPEC. ED. DAEP PLACEMENTS,D08,SPEC. ED. DAEP PLACEMENTS,13766
STATE SUMMARY,J-SPEC. ED. DAEP PLACEMENTS,D09,NON SPEC. ED. DAEP PLACEMENTS,61414
STATE SUMMARY,K-SPEC. ED. OUT OF SCHOOL SUS.,D10,SPEC. ED. STUDENTS OUT OF SCHOOL SUS.,34170
STATE SUMMARY,K-SPEC. ED. OUT OF SCHOOL SUS.,D11,SPEC. ED. OUT OF SCHOOL SUSPEN,64694
STATE SUMMARY,K-SPEC. ED. OUT OF SCHOOL SUS.,D12,NON SPEC. ED. OUT OF SCHOOL SUSPEN,231274
STATE SUMMARY,L-SPEC. ED. IN SCHOOL SUS.,D13,SPEC. ED. STUDENTS IN SCHOOL SUSPEN,63719
STATE SUMMARY,L-SPEC. ED. IN SCHOOL SUS.,D14,SPEC. ED. IN SCHOOL SUSPEN,144063
