"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Alabama","Autauga County","0","1","1","2","375","676.7","Yes","No"
"Alabama","Baldwin County","12","3","6","21","2,310","1,107.58","Yes","No"
"Alabama","Barbour County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Bibb County","5","0","0","5","150","662.46","Yes","No"
"Alabama","Blount County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Bullock County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Butler County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Calhoun County","5","2","0","7","350","305.38","Yes","Yes"
"Alabama","Chambers County","1","0","0","1","30","88.64","Yes","Yes"
"Alabama","Cherokee County","0","0","1","1","275","1,069","Yes","No"
"Alabama","Chilton County","1","0","0","1","30","68.27","Yes","Yes"
"Alabama","Choctaw County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Clarke County","1","1","0","2","130","532.96","Yes","No"
"Alabama","Clay County","2","1","1","4","435","3,224.13","Yes","No"
"Alabama","Cleburne County","0","0","0","0","0","0","No","Yes"
"Alabama","Coffee County","0","1","1","2","375","732.05","Yes","No"
"Alabama","Colbert County","4","0","2","6","670","1,235.8","Yes","No"
"Alabama","Conecuh County","1","0","0","1","30","242.03","Yes","Yes"
"Alabama","Coosa County","0","0","0","0","0","0","No","Yes"
"Alabama","Covington County","1","3","0","4","330","880.99","Yes","No"
"Alabama","Crenshaw County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Cullman County","4","1","2","7","770","933.66","Yes","No"
"Alabama","Dale County","2","0","0","2","60","121.89","No","Yes"
"Alabama","Dallas County","0","0","0","0","0","0","Yes","Yes"
"Alabama","DeKalb County","3","2","0","5","290","409.03","Yes","Yes"
"Alabama","Elmore County","2","0","0","2","60","73.35","Yes","Yes"
"Alabama","Escambia County","2","0","1","3","335","887.93","Yes","No"
"Alabama","Etowah County","6","6","4","16","1,880","1,833","Yes","No"
"Alabama","Fayette County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Franklin County","1","2","0","3","230","727.2","Yes","No"
"Alabama","Geneva County","0","0","0","0","0","0","No","Yes"
"Alabama","Greene County","0","0","0","0","0","0","No","Yes"
"Alabama","Hale County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Henry County","0","0","0","0","0","0","No","Yes"
"Alabama","Houston County","7","5","4","16","1,810","1,739.45","Yes","No"
"Alabama","Jackson County","1","2","0","3","230","441.14","Yes","Yes"
"Alabama","Jefferson County","78","35","40","153","16,840","2,553.37","Yes","No"
"Alabama","Lamar County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Lauderdale County","10","4","1","15","975","1,056.13","Yes","No"
"Alabama","Lawrence County","3","1","0","4","190","571.53","Yes","No"
"Alabama","Lee County","1","0","0","1","30","18.87","No","Yes"
"Alabama","Limestone County","1","1","1","3","405","436.64","No","Yes"
"Alabama","Lowndes County","0","0","0","0","0","0","No","Yes"
"Alabama","Macon County","4","1","2","7","770","4,060.54","No","No"
"Alabama","Madison County","20","16","11","47","5,225","1,463.72","Yes","No"
"Alabama","Marengo County","2","1","0","3","160","813.3","Yes","No"
"Alabama","Marion County","1","3","2","6","880","2,933.53","Yes","No"
"Alabama","Marshall County","6","2","5","13","1,755","1,844.32","Yes","No"
"Alabama","Mobile County","29","10","5","44","3,245","782.24","Yes","No"
"Alabama","Monroe County","2","1","0","3","160","743.15","Yes","No"
"Alabama","Montgomery County","8","7","2","17","1,490","658.28","Yes","No"
"Alabama","Morgan County","4","4","4","12","1,620","1,361.21","Yes","No"
"Alabama","Perry County","0","0","0","0","0","0","No","Yes"
"Alabama","Pickens County","1","0","0","1","30","147.61","No","Yes"
"Alabama","Pike County","1","0","0","1","30","90.13","Yes","Yes"
"Alabama","Randolph County","0","0","0","0","0","0","Yes","Yes"
"Alabama","Russell County","0","1","0","1","100","171.9","Yes","Yes"
