FIPS,State,County,% Frequent Mental Distress,Average Number of Mentally Unhealthy Days,# Deaths,Suicide Rate (Age-Adjusted),% Food Insecure,% Limited Access to Healthy Foods,% Physically Inactive,% With Access to Exercise Opportunities,80th Percentile Income,20th Percentile Income,Income Ratio,% Severe Housing Problems,Dev2019
48001,Texas,Anderson,16,4.7,95,31,15,16,34,26,89626,21024,4.3,13,1.63895727
48003,Texas,Andrews,14,4.4,14,16,10,8,34,93,136021,26969,5.0,14,0.624435856
48005,Texas,Angelina,16,4.9,61,14,17,10,35,62,94408,21956,4.3,17,2.667556468
48007,Texas,Aransas,16,4.8,47,35,18,16,36,77,108314,20425,5.3,18,1.831713117
48009,Texas,Archer,15,4.7,12,23,14,5,27,22,118271,22923,5.2,10,0.710044212
48011,Texas,Armstrong,15,4.7,,,12,21,26,3,125625,37167,3.4,10,0.243055912
48013,Texas,Atascosa,14,4.3,39,16,12,6,35,37,108863,25203,4.3,16,1.410708301
48015,Texas,Austin,14,4.4,33,22,13,2,30,50,120174,24603,4.9,14,1.368399345
48017,Texas,Bailey,13,4.1,,,11,2,33,81,96050,27196,3.5,15,0.546434943
48019,Texas,Bandera,15,4.5,31,26,16,10,29,59,113053,25518,4.4,11,0.869084923
48021,Texas,Bastrop,14,4.4,75,17,12,6,32,46,125545,30478,4.1,16,1.642644753
48023,Texas,Baylor,15,4.7,,,16,1,29,85,83857,16978,4.9,6,0.526694479
48025,Texas,Bee,14,4.4,36,21,17,11,37,46,91403,18274,5.0,21,1.209088152
48027,Texas,Bell,14,4.4,314,18,15,11,30,79,104538,24926,4.2,15,5.476302291
48029,Texas,Bexar,13,4.1,1242,13,14,10,29,87,115285,24725,4.7,18,19.53827631
48031,Texas,Blanco,14,4.4,17,28,13,1,27,34,122750,28287,4.3,13,0.638764557
48033,Texas,Borden,12,4.0,,,13,15,22,1,136938,38000,3.6,5,0.251918669
48035,Texas,Bosque,16,4.8,16,18,17,10,31,24,106042,26847,3.9,13,0.792146942
48037,Texas,Bowie,16,4.9,88,18,16,9,31,38,104363,18727,5.6,16,3.738186263
48039,Texas,Brazoria,13,4.0,243,13,11,7,29,79,153477,36375,4.2,13,4.656036701
48041,Texas,Brazos,15,4.4,106,9,16,12,28,89,110939,18366,6.0,25,6.492141614
48043,Texas,Brewster,13,4.0,18,42,16,16,29,64,94835,15127,6.3,17,0.071630224
48045,Texas,Briscoe,16,4.9,,,16,48,34,29,90583,18644,4.9,8,0.211373671
48047,Texas,Brooks,16,4.8,,,22,10,44,35,65132,7572,8.6,25,0.399577654
48049,Texas,Brown,15,4.7,34,18,15,13,30,49,97711,22139,4.4,11,1.201536044
48051,Texas,Burleson,15,4.6,13,16,14,5,31,38,115686,30251,3.8,13,1.291284371
48053,Texas,Burnet,14,4.4,41,18,14,7,29,51,116108,32076,3.6,14,1.228832417
48055,Texas,Caldwell,15,4.6,29,13,15,7,36,45,105089,25485,4.1,20,1.356069559
48057,Texas,Calhoun,14,4.4,14,14,14,28,36,54,104148,28480,3.7,18,1.184050677
48059,Texas,Callahan,16,4.8,18,26,15,9,28,42,95485,24310,3.9,13,0.670780252
48061,Texas,Cameron,15,4.6,169,8,18,18,38,66,85416,16089,5.3,23,5.047352998
48063,Texas,Camp,15,4.7,11,17,16,5,32,35,91130,16267,5.6,18,2.723414597
48065,Texas,Carson,14,4.5,,,12,5,26,59,131453,31827,4.1,4,0.627261456
48067,Texas,Cass,17,5.3,39,27,18,7,32,27,91435,19780,4.6,13,1.491715729
48069,Texas,Castro,14,4.3,,,12,4,35,45,92103,22378,4.1,11,0.555371044
48071,Texas,Chambers,14,4.4,36,18,13,4,29,65,170787,29365,5.8,15,2.682427896
48073,Texas,Cherokee,16,4.9,48,19,15,13,35,54,103155,22990,4.5,17,1.652456619
48075,Texas,Childress,15,4.5,,,16,19,33,73,96469,23930,4.0,11,0.590383345
48077,Texas,Clay,15,4.8,16,30,16,21,27,9,113730,24436,4.7,11,0.697385956
48079,Texas,Cochran,17,4.9,,,17,9,41,1,88900,13985,6.4,13,0.349776537
48081,Texas,Coke,15,4.7,,,16,36,31,33,91324,20179,4.5,9,0.418439404
48083,Texas,Coleman,15,4.7,,,16,10,30,61,85763,21319,4.0,11,0.494273297
48085,Texas,Collin,11,3.7,564,11,11,3,23,94,181444,45985,3.9,13,17.19449128
48087,Texas,Collingsworth,16,4.8,,,15,3,34,82,83250,14621,5.7,15,0.29202507
48089,Texas,Colorado,14,4.5,18,17,12,7,32,59,107279,23231,4.6,11,1.01724169
48091,Texas,Comal,12,4.0,154,20,12,4,26,86,154131,36791,4.2,13,5.614599287
48093,Texas,Comanche,14,4.5,14,21,14,8,30,,95939,21292,4.5,12,0.657931229
