County,2020 Total Population,2020 Primary Care Physician Total,Ratio of 2020 Population to Primary Care Physician,"Ratio of Primary Care Physicians to 100,000 Population",Rank
Anderson,"58,199",35,"1,662.80",60.1,72
Andrews,"22,269",9,"2,474.30",40.4,142
Angelina,"90,437",84,"1,076.60",92.9,27
Aransas,"27,699",8,"3,462.40",28.9,179
Archer,"8,344",0,-,0,-
Armstrong,"1,948",0,-,0,-
Atascosa,"51,831",18,"2,879.50",34.7,155
Austin,"30,402",8,"3,800.30",26.3,182
Bailey,"7,692",2,"3,846.00",26,184
Bandera,"21,246",8,"2,655.80",37.7,148
Bastrop,"86,105",25,"3,444.20",29,177
Baylor,"3,624",6,604,165.6,1
Bee,"34,445",14,"2,460.40",40.6,139
Bell,"353,629",304,"1,163.30",86,41
Bexar,"2,093,502","1,714","1,221.40",81.9,44
Blanco,"11,504",4,"2,876.00",34.8,154
Borden,685,0,-,0,-
Bosque,"17,765",12,"1,480.40",67.5,60
Bowie,"92,570",109,849.3,117.7,9
Brazoria,"375,869",217,"1,732.10",57.7,80
Brazos,"229,410",224,"1,024.20",97.6,19
Brewster,"9,133",12,761.1,131.4,4
Briscoe,"1,568",0,-,0,-
Brooks,"7,175",1,"7,175.00",13.9,212
Brown,"38,923",30,"1,297.40",77.1,48
Burleson,"17,718",4,"4,429.50",22.6,195
Burnet,"48,196",45,"1,071.00",93.4,26
Caldwell,"44,284",15,"2,952.30",33.9,157
Calhoun,"22,840",16,"1,427.50",70.1,55
Callahan,"13,456",2,"6,728.00",14.9,209
Cameron,"427,881",254,"1,684.60",59.4,75
Camp,"13,322",12,"1,110.20",90.1,32
Carson,"5,799",0,-,0,-
Cass,"30,327",9,"3,369.70",29.7,172
Castro,"7,103",4,"1,775.80",56.3,85
Chambers,"42,320",6,"7,053.30",14.2,210
Cherokee,"52,178",35,"1,490.80",67.1,61
Childress,"7,062",10,706.2,141.6,2
Clay,"9,787",5,"1,957.40",51.1,103
Cochran,"3,348",1,"3,348.00",29.9,171
Coke,"3,215",0,-,0,-
Coleman,"8,478",4,"2,119.50",47.2,120
Collin,"1,039,369","1,055",985.2,101.5,17
Collingsworth,"3,210",1,"3,210.00",31.2,165
Colorado,"21,273",20,"1,063.70",94,24
Comal,"147,330",112,"1,315.40",76,50
Comanche,"13,075",12,"1,089.60",91.8,29
Concho,"4,147",1,"4,147.00",24.1,190
Cooke,"39,727",17,"2,336.90",42.8,132
Coryell,"78,317",21,"3,729.40",26.8,181
Cottle,"1,510",0,-,0,-
Crane,"6,209",2,"3,104.50",32.2,161
Crockett,"4,040",1,"4,040.00",24.8,187
Crosby,"6,464",1,"6,464.00",15.5,208
Culberson,"2,245",2,"1,122.50",89.1,33
Dallam,"7,237",0,-,0,-
Dallas,"2,734,111","2,424","1,127.90",88.7,36
Dawson,"13,592",6,"2,265.30",44.1,130
De Witt,"21,737",13,"1,672.10",59.8,73
Deaf Smith,"18,143",6,"3,023.80",33.1,159
Delta,"5,367",0,-,0,-
Denton,"897,953",496,"1,810.40",55.2,87
Dickens,"2,174",0,-,0,-
Dimmit,"11,743",7,"1,677.60",59.6,74
Donley,"3,410",1,"3,410.00",29.3,176
Duval,"11,796",0,-,0,-
Eastland,"18,205",9,"2,022.80",49.4,114
Ector,"184,841",103,"1,794.60",55.7,86
Edwards,"1,991",1,"1,991.00",50.2,107
El Paso,"876,120",512,"1,711.20",58.4,77
Ellis,"177,721",104,"1,708.90",58.5,76
Erath,"41,526",21,"1,977.40",50.6,106
Falls,"16,603",1,"16,603.00",6,222
Fannin,"34,597",10,"3,459.70",28.9,178
Fayette,"26,086",12,"2,173.80",46,125
Fisher,"3,985",2,"1,992.50",50.2,109
Floyd,"5,786",3,"1,928.70",51.8,97
Foard,"1,240",0,-,0,-
Fort Bend,"840,383",539,"1,559.20",64.1,65
Franklin,"10,924",3,"3,641.30",27.5,180
Freestone,"19,860",9,"2,206.70",45.3,128
Frio,"20,023",10,"2,002.30",49.9,111
Gaines,"22,121",8,"2,765.10",36.2,152
Galveston,"355,196",245,"1,449.80",69,58
Garza,"6,784",2,"3,392.00",29.5,173
Gillespie,"26,191",30,873,114.5,11
Glasscock,"1,365",0,-,0,-
Goliad,"7,717",1,"7,717.00",13,214
Gonzales,"21,347",9,"2,371.90",42.2,134
Gray,"24,252",12,"2,021.00",49.5,113
Grayson,"131,710",124,"1,062.20",94.1,23
Gregg,"125,730",150,838.2,119.3,8
Grimes,"28,930",14,"2,066.40",48.4,115
Guadalupe,"170,266",61,"2,791.20",35.8,153
Hale,"33,202",19,"1,747.50",57.2,82
Hall,"3,305",0,-,0,-
Hamilton,"8,220",10,822,121.7,6
Hansford,"5,820",4,"1,455.00",68.7,59
Hardeman,"3,870",3,"1,290.00",77.5,47
Hardin,"56,486",10,"5,648.60",17.7,202
Harris,"4,978,845","4,416","1,127.50",88.7,35
Harrison,"68,247",16,"4,265.40",23.4,192
Hartley,"6,067",8,758.4,131.9,3
Haskell,"6,197",4,"1,549.30",64.5,64
Hays,"234,896",150,"1,566.00",63.9,66
Hemphill,"4,644",6,774,129.2,5
Henderson,"81,179",43,"1,887.90",53,94
Hidalgo,"870,366",546,"1,594.10",62.7,67
Hill,"35,673",12,"2,972.80",33.6,158
Hockley,"24,636",11,"2,239.60",44.7,129
Hood,"58,643",42,"1,396.30",71.6,53
Hopkins,"37,040",15,"2,469.30",40.5,141
Houston,"22,620",5,"4,524.00",22.1,196
Howard,"41,236",19,"2,170.30",46.1,123
Hudspeth,"3,400",1,"3,400.00",29.4,174
Hunt,"95,324",51,"1,869.10",53.5,92
Hutchinson,"21,461",8,"2,682.60",37.3,149
Irion,"1,508",0,-,0,-
Jack,"8,841",9,982.3,101.8,16
Jackson,"15,899",9,"1,766.60",56.6,83
Jasper,"35,525",15,"2,368.30",42.2,133
Jeff Davis,"2,113",1,"2,113.00",47.3,118
Jefferson,"258,678",181,"1,429.20",70,56
Jim Hogg,"5,077",0,-,0,-
Jim Wells,"42,890",22,"1,949.50",51.3,100
Johnson,"171,701",64,"2,682.80",37.3,150
Jones,"19,735",4,"4,933.80",20.3,200
Karnes,"15,393",5,"3,078.60",32.5,160
Kaufman,"125,134",43,"2,910.10",34.4,156
Kendall,"46,278",48,964.1,103.7,13
Kenedy,476,0,-,0,-
Kent,795,0,-,0,-
Kerr,"52,267",53,986.2,101.4,18
Kimble,"4,344",2,"2,172.00",46,124
King,309,0,-,0,-
Kinney,"3,462",0,-,0,-
Kleberg,"30,987",18,"1,721.50",58.1,78
Knox,"3,937",1,"3,937.00",25.4,186
La Salle,"8,309",1,"8,309.00",12,215
Lamar,"50,014",37,"1,351.70",74,51
Lamb,"12,776",5,"2,555.20",39.1,145
Lampasas,"21,037",8,"2,629.60",38,147
Lavaca,"20,735",13,"1,595.00",62.7,68
Lee,"17,595",4,"4,398.80",22.7,193
Leon,"17,707",4,"4,426.80",22.6,194
Liberty,"85,284",31,"2,751.10",36.3,151
Limestone,"23,544",18,"1,308.00",76.5,49
Lipscomb,"3,651",0,-,0,-
Live Oak,"12,030",1,"12,030.00",8.3,220
Llano,"19,452",12,"1,621.00",61.7,70
Loving,92,0,-,0,-
Lubbock,"317,210",274,"1,157.70",86.4,39
Lynn,"5,588",6,931.3,107.4,12
Madison,"14,527",8,"1,815.90",55.1,88
Marion,"10,294",1,"10,294.00",9.7,218
Martin,"6,044",3,"2,014.70",49.6,112
Mason,"3,899",2,"1,949.50",51.3,99
Matagorda,"37,064",19,"1,950.70",51.3,101
Maverick,"59,938",28,"2,140.60",46.7,121
McCulloch,"8,660",5,"1,732.00",57.7,79
McLennan,"253,066",222,"1,139.90",87.7,37
McMullen,783,0,-,0,-
Medina,"50,594",20,"2,529.70",39.5,144
Menard,"2,188",1,"2,188.00",45.7,126
Midland,"187,364",106,"1,767.60",56.6,84
Milam,"24,635",6,"4,105.80",24.4,189
Mills,"4,870",2,"2,435.00",41.1,138
Mitchell,"9,865",4,"2,466.30",40.5,140
Montague,"19,199",8,"2,399.90",41.7,137
Montgomery,"613,951",581,"1,056.70",94.6,21
Moore,"21,575",15,"1,438.30",69.5,57
Morris,"12,448",4,"3,112.00",32.1,162
Motley,"1,172",0,-,0,-
Nacogdoches,"64,106",58,"1,105.30",90.5,31
Navarro,"47,985",25,"1,919.40",52.1,95
Newton,"13,724",3,"4,574.70",21.9,197
Nolan,"15,642",8,"1,955.30",51.1,102
Nueces,"383,718",363,"1,057.10",94.6,22
Ochiltree,"11,309",6,"1,884.80",53.1,93
Oldham,"2,200",0,-,0,-
Orange,"86,155",22,"3,916.10",25.5,185
Palo Pinto,"27,859",16,"1,741.20",57.4,81
Panola,"24,576",6,"4,096.00",24.4,188
Parker,"135,621",68,"1,994.40",50.1,110
Parmer,"9,200",2,"4,600.00",21.7,198
Pecos,"16,533",8,"2,066.60",48.4,116
Polk,"49,080",30,"1,636.00",61.1,71
Potter,"122,706",141,870.3,114.9,10
Presidio,"5,906",3,"1,968.70",50.8,105
Rains,"11,378",1,"11,378.00",8.8,219
Randall,"138,104",44,"3,138.70",31.9,163
Reagan,"4,226",2,"2,113.00",47.3,118
Real,"3,407",0,-,0,-
Red River,"12,610",2,"6,305.00",15.9,205
Reeves,"15,707",8,"1,963.40",50.9,104
Refugio,"7,573",3,"2,524.30",39.6,143
Roberts,983,0,-,0,-
Robertson,"16,888",0,-,0,-
Rockwall,"102,243",94,"1,087.70",91.9,28
Runnels,"11,009",9,"1,223.20",81.8,45
Rusk,"52,767",22,"2,398.50",41.7,136
Sabine,"9,936",3,"3,312.00",30.2,169
San Augustine,"8,405",2,"4,202.50",23.8,191
San Jacinto,"28,844",4,"7,211.00",13.9,213
San Patricio,"71,325",22,"3,242.00",30.8,167
San Saba,"5,873",1,"5,873.00",17,203
Schleicher,"3,312",1,"3,312.00",30.2,169
Scurry,"18,368",13,"1,412.90",70.8,54
Shackelford,"3,405",1,"3,405.00",29.4,175
Shelby,"25,545",4,"6,386.30",15.7,207
Sherman,"3,276",0,-,0,-
Smith,"235,143",284,828,120.8,7
Somervell,"9,294",9,"1,032.70",96.8,20
Starr,"64,731",17,"3,807.70",26.3,183
Stephens,"9,570",7,"1,367.10",73.1,52
Sterling,"1,252",0,-,0,-
Stonewall,"1,523",1,"1,523.00",65.7,63
Sutton,"4,381",2,"2,190.50",45.7,127
Swisher,"7,414",4,"1,853.50",54,90
Tarrant,"2,143,755","1,793","1,195.60",83.6,43
Taylor,"139,457",122,"1,143.10",87.5,38
Terrell,"1,054",0,-,0,-
Terry,"13,040",4,"3,260.00",30.7,168
Throckmorton,"1,519",1,"1,519.00",65.8,62
Titus,"32,953",30,"1,098.40",91,30
Tom Green,"123,276",126,978.4,102.2,15
Travis,"1,291,502","1,321",977.7,102.3,14
Trinity,"14,233",3,"4,744.30",21.1,199
Tyler,"21,343",3,"7,114.30",14.1,211
Upshur,"41,655",7,"5,950.70",16.8,204
Upton,"3,983",2,"1,991.50",50.2,108
Uvalde,"27,937",15,"1,862.50",53.7,91
Val Verde,"48,253",23,"2,098.00",47.7,117
Van Zandt,"55,469",11,"5,042.60",19.8,201
Victoria,"97,744",87,"1,123.50",89,34
Walker,"73,997",38,"1,947.30",51.4,98
Waller,"50,731",5,"10,146.20",9.9,217
Ward,"13,592",1,"13,592.00",7.4,221
Washington,"35,155",28,"1,255.50",79.6,46
Webb,"276,183",116,"2,380.90",42,135
Wharton,"41,941",23,"1,823.50",54.8,89
Wheeler,"5,783",3,"1,927.70",51.9,96
Wichita,"133,138",125,"1,065.10",93.9,25
Wilbarger,"13,038",5,"2,607.60",38.3,146
Willacy,"22,134",7,"3,162.00",31.6,164
Williamson,"589,914",509,"1,159.00",86.3,40
Wilson,"51,802",16,"3,237.60",30.9,166
Winkler,"9,295",1,"9,295.00",10.8,216
Wise,"65,807",41,"1,605.00",62.3,69
