County,2020 Total Population,2020 Psychiatrist Total,Ratio of 2020 Population to Psychiatrist,"Ratio of Psychiatrists to 100,000 Population",Rank
Anderson,"58,199",4,"14,549.80",6.9,31
Andrews,"22,269",0,-,0,-
Angelina,"90,437",12,"7,536.40",13.3,9
Aransas,"27,699",1,"27,699.00",3.6,56
Archer,"8,344",0,-,0,-
Armstrong,"1,948",0,-,0,-
Atascosa,"51,831",3,"17,277.00",5.8,41
Austin,"30,402",0,-,0,-
Bailey,"7,692",0,-,0,-
Bandera,"21,246",0,-,0,-
Bastrop,"86,105",1,"86,105.00",1.2,83
Baylor,"3,624",0,-,0,-
Bee,"34,445",0,-,0,-
Bell,"353,629",40,"8,840.70",11.3,13
Bexar,"2,093,502",223,"9,387.90",10.7,16
Blanco,"11,504",0,-,0,-
Borden,685,0,-,0,-
Bosque,"17,765",0,-,0,-
Bowie,"92,570",6,"15,428.30",6.5,32
Brazoria,"375,869",16,"23,491.80",4.3,51
Brazos,"229,410",11,"20,855.50",4.8,47
Brewster,"9,133",0,-,0,-
Briscoe,"1,568",0,-,0,-
Brooks,"7,175",0,-,0,-
Brown,"38,923",1,"38,923.00",2.6,69
Burleson,"17,718",0,-,0,-
Burnet,"48,196",3,"16,065.30",6.2,34
Caldwell,"44,284",0,-,0,-
Calhoun,"22,840",0,-,0,-
Callahan,"13,456",1,"13,456.00",7.4,27
Cameron,"427,881",20,"21,394.10",4.7,49
Camp,"13,322",0,-,0,-
Carson,"5,799",0,-,0,-
Cass,"30,327",1,"30,327.00",3.3,60
Castro,"7,103",0,-,0,-
Chambers,"42,320",0,-,0,-
Cherokee,"52,178",13,"4,013.70",24.9,3
Childress,"7,062",0,-,0,-
Clay,"9,787",0,-,0,-
Cochran,"3,348",0,-,0,-
Coke,"3,215",0,-,0,-
Coleman,"8,478",0,-,0,-
Collin,"1,039,369",109,"9,535.50",10.5,17
Collingsworth,"3,210",0,-,0,-
Colorado,"21,273",0,-,0,-
Comal,"147,330",8,"18,416.30",5.4,43
Comanche,"13,075",0,-,0,-
Concho,"4,147",0,-,0,-
Cooke,"39,727",0,-,0,-
Coryell,"78,317",1,"78,317.00",1.3,81
Cottle,"1,510",0,-,0,-
Crane,"6,209",0,-,0,-
Crockett,"4,040",0,-,0,-
Crosby,"6,464",0,-,0,-
Culberson,"2,245",0,-,0,-
Dallam,"7,237",0,-,0,-
Dallas,"2,734,111",300,"9,113.70",11,15
Dawson,"13,592",0,-,0,-
De Witt,"21,737",0,-,0,-
Deaf Smith,"18,143",0,-,0,-
Delta,"5,367",0,-,0,-
Denton,"897,953",47,"19,105.40",5.2,45
Dickens,"2,174",0,-,0,-
Dimmit,"11,743",0,-,0,-
Donley,"3,410",0,-,0,-
Duval,"11,796",0,-,0,-
Eastland,"18,205",0,-,0,-
Ector,"184,841",3,"61,613.70",1.6,78
Edwards,"1,991",0,-,0,-
El Paso,"876,120",47,"18,640.90",5.4,44
Ellis,"177,721",3,"59,240.30",1.7,76
Erath,"41,526",0,-,0,-
Falls,"16,603",0,-,0,-
Fannin,"34,597",0,-,0,-
Fayette,"26,086",1,"26,086.00",3.8,54
Fisher,"3,985",0,-,0,-
Floyd,"5,786",0,-,0,-
Foard,"1,240",0,-,0,-
Fort Bend,"840,383",52,"16,161.20",6.2,35
