"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total Traffic Fatalities","Total Traffic Fatalities BAC gt 08","Percent Traffic Fatalities BAC gt 08","Traffic_Fatalities_per_100k","Total.number.of.waivered.providers","Patient.capacity","High.need.for.treatment.services","Low.to.no.patient.capacity","Frequent_Mental_Distress","Average_Bad_MH_Days","Deaths_Suicide","Suicide_Rate_AA","Perc_Food_Insecure","Perc_Limited_Acc_Healthy_Foods","Perc_Physically_Inactive","Perc_With_Acc_Exercise","Income_80th","Income_20th","Income_Ratio","Perc_Severe_Housing_Issues","Dev2019","I_35","percent_comp"
"48001","Anderson","20.899999999999999","27.600000000000001",1.5184,0.1687,21.1656,5.7975,3.3282,58057,182,112,"     3.2",58199,"7",12,"3",5.2,"29",49.8,"14",24.1,"13",22.3,"35",60.1,"Micropolitan Statistical Area","Central","37300","Palestine, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,36.4,,5.62307931355961,30.9357047080994,48,1,0,1,77,0,0,7,82.4756439114074,1.71824258148765,0,1.71824258148765,132.304678774549,0,0,12.0276980704136,4,6.9,11,3,23,18.9006683963642,"2","130","No","Yes",16,4.7,95,31,15,16,34,26,89626,21024,4.3,13,1.63895727,"Non I-35 Corridor",0.974025974025974
"48003","Andrews","9.1999999999999993","12",1.4892,0,14.3708,1.7126,1.787,18128,22,30,"     3.7",22269,"1",4.5,"0",0,"3",13.5,"1",4.5,"1",4.5,"9",40.4,"Micropolitan Statistical Area","Central","11380","Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,11.6,,3.61633530360022,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,21,67.3582109659167,"1","30","No","Yes",14,4.4,14,16,10,8,34,93,136021,26969,5,14,0.624435856,"Non I-35 Corridor",0.974025974025974
"48005","Angelina","17","25.100000000000001",2.2809,0.6254,17.7872,2.9983,3.5869,87092,244,225,"     4.6",90437,"18",19.9,"12",13.3,"61",67.5,"58",64.1,"27",29.9,"84",92.9,"Micropolitan Statistical Area","Central","31260","Lufkin, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,58.3,3.47242317263731,6.48069911453209,17.5960138440132,55,1,0,4,5,0,0,4,60.8158165352676,1.10574211882305,0,4.42296847529219,5.52871059411524,0,0,4.42296847529219,12,13.3,15,5,36,16.5861317823457,"1","30","No","Yes",16,4.9,61,14,17,10,35,62,94408,21956,4.3,17,2.667556468,"Non I-35 Corridor",0.987012987012987
"48007","Aransas","17.100000000000001","30.800000000000001",2.5957,,18.1161,6.1547,2.2746,23792,195,173,"     5.3",27699,"2",7.2,"4",14.4,"15",54.2,"4",14.4,"1",3.6,"8",28.9,"Micropolitan Statistical Area","Central","40530","Rockport, TX","Micropolitan Statistical Area-Central",2,"TX",3,2,17,25.1783466219052,10.7553503986572,23.7079069018364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6,6,3,52,21.6614318206433,"0","0","Yes","Yes",16,4.8,47,35,18,16,36,77,108314,20425,5.3,18,1.831713117,"Non I-35 Corridor",0.974025974025974
"48009","Archer","6.9000000000000004","11.199999999999999",1.3928,,21.3092,4.805,1.6017,8786,18.93,13.11,"     3.1",8344,"3",36,"0",0,"7",83.9,"6",71.9,"4",47.9,"0",0,"Metropolitan Statistical Area","Outlying","48660","Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.5,,6.58878504672897,21.9790354371071,5,0,0,0,0,0,0,0,59.9232981783317,0,0,0,0,0,0,0,0,0,5,1,22,59.9232981783317,"1","30","No","Yes",15,4.7,12,23,14,5,27,22,118271,22923,5.2,10,0.710044212,"Non I-35 Corridor",0.961038961038961
"48011","Armstrong","9.3000000000000007","12.4",,0,16.2651,,4.2169,1892,3,2,"     2.4",1948,"0",0,"0",0,"1",51.3,"1",51.3,"0",0,"0",0,"Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,20.3,,7.03463203463203,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,102.669404517454,"0","0","No","Yes",15,4.7,,,12,21,26,3,125625,37167,3.4,10,0.243055912,"Non I-35 Corridor",0.922077922077922
"48013","Atascosa","14.9","22",2.3009,,17.5026,3.2834,3.7746,50310,114,98,"     4.2",51831,"8",15.4,"2",3.9,"13",25.1,"2",3.9,"7",13.5,"18",34.7,"Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20,,6.55356158510443,23.8479003310204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.8,7,2,31,13.5054311126546,"0","0","Yes","Yes",14,4.3,39,16,12,6,35,37,108863,25203,4.3,16,1.410708301,"Non I-35 Corridor",0.961038961038961
"48015","Austin","11.4","18",1.4181,,14.6619,1.7979,1.8992,29989,50,47,"     3.8",30402,"1",3.3,"0",0,"11",36.2,"1",3.3,"2",6.6,"8",26.3,"Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20.3,,5.35353200517121,19.623938202858,5,0,0,0,0,0,0,0,16.4462864285244,0,0,0,0,0,0,0,0,0,6,4,58,19.7355437142293,"0","0","No","Yes",14,4.4,33,22,13,2,30,50,120174,24603,4.9,14,1.368399345,"Non I-35 Corridor",0.961038961038961
"48017","Bailey","14.4","23.300000000000001",1.3953,0,15.6977,1.2791,2.093,7027,41,30,"     3.5",7692,"1",13,"0",0,"4",52,"0",0,"0",0,"2",26,,,,,,7,"TX",6,9,23.2,,4.34530706836616,27.2771567106247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,36,65.0026001040042,"0","0","No","Yes",13,4.1,,,11,2,33,81,96050,27196,3.5,15,0.546434943,"Non I-35 Corridor",0.883116883116883
"48019","Bandera","11","21.300000000000001",1.6646,,17.604,3.3291,1.5637,22824,54,58,"     3.3",21246,"8",37.7,"3",14.1,"16",75.3,"0",0,"4",18.8,"8",37.7,"Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,9.6,23.9796652438732,13.279938612057,23.8479003310204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,45,28.2406099971759,"0","0","No","Yes",15,4.5,31,26,16,10,29,59,113053,25518,4.4,11,0.869084923,"Non I-35 Corridor",0.974025974025974
